"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"Califique la utilidad de la herramienta de comunicaci�n de equipos, Slack, que se utiliz� en el curso:";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"En promedio �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase presencial? Seleccione un n�mero.";"Teniendo en cuenta las caracter�sticas del curso �C�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades o recursos a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";"Califique el aporte de este curso a su formaci�n dentro de su programa de e:studios";
"6566320232";"166630950";"2017-12-05 17:07:58";"2017-12-05 18:30:32";"177.252.249.142";"";"";"";"";"4";"4";"3";"3";"4";"4";"4";"2";"5";"4";"4";"4";"3";"3";"4";"15";"4";"4";"5";"3";"4";"5";"3";"4";"4";"4";"4";"5";"5";"5";"5";"4";"3";"3";"3";"4";"4";"5";"4";"4";"5";"4";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"4";"4";"4";"3";"4";"5";"1";
"6566320229";"166630950";"2017-12-05 17:08:07";"2017-12-07 17:11:00";"157.253.222.149";"";"";"";"";"4";"4";"4";"2";"4";"3";"4";"3";"5";"5";"4";"5";"4";"4";"3";"13";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"4";"5";"5";"5";"4";"3";"4";"3";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"3";"5";"4";"4";"5";"1";
"6566319705";"166630950";"2017-12-05 17:07:13";"2017-12-05 17:15:02";"157.253.228.13";"";"";"";"";"4";"4";"3";"4";"4";"4";"4";"2";"4";"4";"3";"4";"5";"5";"4";"20";"4";"3";"3";"3";"3";"3";"4";"4";"4";"5";"4";"5";"4";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"3";"3";"4";"5";"1";
"6566316807";"166630950";"2017-12-05 17:06:35";"2017-12-05 17:47:42";"157.253.224.170";"";"";"";"";"5";"5";"5";"1";"5";"5";"5";"3";"4";"3";"2";"2";"2";"2";"2";"9";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"3";"3";"4";"3";"1";"4";"4";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";
"6566268447";"166630950";"2017-12-05 16:43:42";"2017-12-05 18:33:52";"191.144.244.27";"";"";"";"";"2";"2";"4";"2";"4";"4";"4";"3";"4";"4";"2";"4";"3";"3";"2";"20";"5";"4";"4";"4";"4";"2";"2";"3";"4";"4";"2";"2";"4";"4";"5";"1";"1";"2";"2";"5";"1";"1";"1";"4";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"3";"2";"2";"2";"5";"3";
"6565879072";"166630950";"2017-12-05 13:45:22";"2017-12-05 13:58:47";"186.82.13.165";"";"";"";"";"4";"4";"4";"3";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"11";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"5";"5";"5";"5";"5";"3";"4";"4";"4";"5";"3";"5";"3";"3";"3";"3";"4";"4";"4";"4";"4";"5";"4";"4";"4";"2";
"6565661674";"166630950";"2017-12-05 10:41:36";"2017-12-05 12:59:56";"161.18.8.174";"";"";"";"";"4";"3";"3";"3";"4";"3";"4";"2";"4";"4";"2";"4";"2";"3";"3";"13";"4";"2";"4";"4";"4";"4";"4";"3";"4";"4";"2";"4";"3";"4";"3";"2";"3";"3";"3";"2";"3";"2";"3";"4";"4";"4";"4";"4";"3";"4";"4";"3";"3";"3";"4";"3";"3";"2";"2";"2";"2";"2";"3";"2";
"6564898170";"166630950";"2017-12-05 8:17:22";"2017-12-05 8:32:50";"190.24.4.194";"";"";"";"";"4";"4";"4";"4";"4";"4";"4";"2";"4";"5";"4";"4";"4";"4";"4";"17";"5";"5";"5";"5";"5";"4";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"5";"4";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"1";
"6563925217";"166630950";"2017-12-04 20:59:46";"2017-12-04 21:11:49";"186.85.170.234";"";"";"";"";"5";"5";"5";"5";"5";"4";"4";"1";"5";"5";"3";"5";"5";"4";"5";"21";"5";"5";"4";"4";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"4";"4";"5";"5";"1";
"6563891003";"166630950";"2017-12-04 20:33:28";"2017-12-04 20:44:36";"190.24.21.253";"";"";"";"";"2";"5";"5";"1";"4";"5";"4";"4";"4";"3";"4";"4";"1";"4";"1";"8";"4";"5";"5";"5";"5";"1";"5";"3";"5";"5";"4";"5";"1";"4";"5";"5";"2";"5";"5";"1";"5";"5";"1";"1";"1";"4";"3";"5";"5";"5";"5";"4";"4";"5";"5";"4";"5";"3";"3";"4";"2";"1";"4";"2";
"6563485599";"166630950";"2017-12-04 16:51:17";"2017-12-04 17:04:30";"190.147.1.11";"";"";"";"";"5";"4";"3";"3";"3";"4";"4";"2";"2";"4";"4";"3";"3";"4";"3";"9";"3";"5";"2";"5";"2";"2";"4";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"2";"5";"5";"5";"5";"4";"4";"4";"5";"4";"4";"4";"4";"2";"4";"3";"4";"5";"2";
"6563453496";"166630950";"2017-12-04 16:36:01";"2017-12-04 16:41:27";"190.242.43.18";"";"";"";"";"5";"5";"5";"4";"4";"4";"4";"2";"3";"4";"4";"4";"3";"3";"4";"18";"5";"5";"5";"5";"5";"4";"3";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"5";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"1";
