"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"�Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6207582695";"157236619";"2017-05-20 18:46:29";"2017-05-20 18:58:33";"181.53.115.81";"";"";"";"";"3";"2";"2";"1";"1";"4";"4";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"4";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";
"6207567427";"157236619";"2017-05-20 18:02:36";"2017-05-20 18:17:04";"186.155.134.245";"";"";"";"";"3";"4";"3";"3";"2";"3";"3";"3";"2";"5";"4";"4";"4";"2";"2";"2";"3";"3";"2";"3";"4";"4";"4";"4";"4";"4";"2";"2";"2";"3";"3";"4";"2";"2";"2";"2";"2";"4";"4";"3";"4";"2";"2";"2";"3";
"6207476427";"157236619";"2017-05-20 14:50:26";"2017-05-20 14:57:58";"186.147.153.181";"";"";"";"";"4";"4";"4";"2";"3";"4";"3";"3";"4";"4";"4";"3";"3";"2";"3";"3";"3";"3";"2";"4";"4";"4";"3";"4";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"2";"3";"4";"4";"3";"2";"2";"2";"2";"1";"4";
"6207461689";"157236619";"2017-05-20 14:24:17";"2017-05-20 18:55:44";"186.115.59.184";"";"";"";"";"4";"3";"2";"3";"4";"0";"2";"3";"3";"5";"4";"3";"4";"1";"4";"4";"4";"4";"4";"3";"3";"4";"3";"3";"3";"4";"4";"1";"2";"3";"5";"4";"3";"2";"3";"4";"";"";"";"";"";"";"";"";"";
"6207459678";"157236619";"2017-05-20 14:20:34";"2017-05-20 14:27:41";"200.122.250.74";"";"";"";"";"2";"4";"4";"2";"4";"4";"2";"4";"4";"4";"4";"2";"2";"4";"4";"4";"4";"4";"2";"3";"4";"2";"4";"2";"2";"4";"4";"2";"2";"5";"5";"3";"2";"2";"2";"4";"3";"2";"3";"3";"3";"3";"4";"4";"4";
"6207458643";"157236619";"2017-05-20 14:18:39";"2017-05-20 14:33:22";"186.154.39.55";"";"";"";"";"4";"5";"5";"4";"3";"4";"4";"3";"4";"4";"5";"5";"5";"4";"5";"5";"4";"4";"2";"2";"5";"5";"5";"5";"4";"4";"4";"4";"5";"3";"4";"5";"4";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";
"6207454462";"157236619";"2017-05-20 14:10:52";"2017-05-20 14:19:18";"181.142.226.235";"";"";"";"";"4";"2";"4";"3";"4";"4";"3";"4";"2";"3";"4";"3";"2";"1";"3";"3";"2";"3";"5";"3";"3";"3";"2";"2";"2";"2";"3";"2";"3";"3";"4";"4";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"4";
"6207359798";"157236619";"2017-05-20 11:22:24";"2017-05-20 12:00:29";"186.159.112.33";"";"";"";"";"4";"5";"4";"5";"3";"4";"3";"5";"4";"4";"5";"4";"3";"2";"5";"5";"4";"4";"2";"3";"4";"5";"5";"4";"4";"4";"4";"4";"4";"3";"5";"5";"3";"4";"3";"5";"5";"5";"4";"4";"3";"4";"3";"4";"5";
"6207279297";"157236619";"2017-05-20 9:02:41";"2017-05-20 9:08:30";"186.29.239.146";"";"";"";"";"4";"4";"4";"5";"4";"5";"4";"4";"5";"4";"4";"2";"4";"1";"0";"4";"0";"0";"2";"4";"4";"4";"2";"2";"2";"4";"4";"2";"2";"5";"3";"5";"4";"4";"4";"4";"4";"4";"4";"4";"1";"4";"4";"1";"1";
"6207097350";"157236619";"2017-05-19 21:34:53";"2017-05-20 1:40:47";"181.53.9.104";"";"";"";"";"5";"4";"4";"4";"4";"4";"5";"5";"5";"4";"5";"5";"5";"3";"5";"5";"0";"0";"3";"3";"4";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"3";"3";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";
"6207080310";"157236619";"2017-05-20 0:37:02";"2017-05-20 0:44:14";"181.49.67.188";"";"";"";"";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"4";"5";"3";"5";"5";"3";"5";"2";"3";"5";"5";"4";"5";"4";"4";"5";"3";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6207019485";"157236619";"2017-05-19 22:09:35";"2017-05-19 22:14:54";"190.12.155.185";"";"";"";"";"4";"5";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"5";"4";"4";"5";"4";"4";"2";"3";"4";"4";"5";"4";"5";"4";"4";"3";"4";"3";"5";"4";"4";"4";"3";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";
"6207011677";"157236619";"2017-05-19 21:54:44";"2017-05-19 21:57:52";"177.252.255.7";"";"";"";"";"4";"4";"4";"3";"4";"4";"5";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"5";"5";"5";"5";"5";"5";"4";"4";"3";"3";"4";"5";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6206996556";"157236619";"2017-05-19 21:26:39";"2017-05-19 21:29:28";"181.58.236.43";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"2";"3";"4";"4";"5";"5";"5";"4";"4";"4";"3";"4";"4";"5";"5";"4";"5";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";
"6206993541";"157236619";"2017-05-19 21:21:06";"2017-05-19 21:25:37";"181.128.203.247";"";"";"";"";"4";"4";"4";"3";"4";"3";"3";"5";"4";"5";"5";"4";"5";"3";"4";"4";"0";"0";"2";"3";"4";"3";"3";"4";"2";"3";"4";"3";"3";"3";"3";"4";"4";"4";"3";"2";"3";"4";"4";"3";"4";"5";"5";"3";"2";
"6206944648";"157236619";"2017-05-19 19:59:54";"2017-05-19 20:04:58";"161.18.116.148";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"3";"5";"5";"3";"3";"3";"5";"5";"2";"2";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6206846318";"157236619";"2017-05-19 18:06:55";"2017-05-19 18:11:02";"157.253.197.18";"";"";"";"";"4";"4";"4";"2";"2";"4";"2";"2";"2";"2";"4";"4";"4";"4";"4";"3";"4";"4";"2";"4";"4";"2";"2";"2";"2";"1";"2";"4";"4";"1";"3";"3";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";
"6206739173";"157236619";"2017-05-19 16:43:12";"2017-05-19 16:50:51";"157.253.102.227";"";"";"";"";"5";"5";"5";"3";"5";"3";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"2";"2";"5";"5";"4";"5";"5";"5";"4";"5";"5";"3";"3";"5";"3";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6206726505";"157236619";"2017-05-19 16:34:06";"2017-05-19 16:40:48";"186.159.112.33";"";"";"";"";"4";"5";"4";"2";"2";"3";"4";"2";"2";"2";"4";"3";"3";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"2";"3";"5";"3";"3";"3";"3";"4";"3";"2";"3";"4";"5";"5";"4";"5";"4";"4";"4";"5";"5";
"6206725581";"157236619";"2017-05-19 16:33:47";"2017-05-19 16:33:55";"190.27.29.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6206722377";"157236619";"2017-05-19 16:31:30";"2017-05-19 16:49:46";"157.253.211.217";"";"";"";"";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"3";"2";"2";"2";"1";"1";"3";"3";"5";"5";"2";"3";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";
"6206714813";"157236619";"2017-05-19 16:25:44";"2017-05-19 16:32:48";"186.87.22.245";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"2";"4";"4";"4";"4";"4";"4";"3";"1";"1";"1";"3";"3";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6206712680";"157236619";"2017-05-19 16:25:07";"2017-05-19 16:29:59";"190.5.197.182";"";"";"";"";"5";"5";"4";"3";"4";"4";"4";"3";"5";"4";"5";"5";"5";"4";"0";"5";"4";"4";"3";"3";"4";"5";"3";"3";"3";"4";"4";"1";"1";"4";"1";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6206712551";"157236619";"2017-05-19 16:25:03";"2017-05-19 16:28:17";"157.253.211.6";"";"";"";"";"3";"4";"4";"4";"3";"3";"3";"5";"3";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6206712418";"157236619";"2017-05-19 16:25:12";"2017-05-19 16:27:56";"181.133.221.148";"";"";"";"";"3";"4";"1";"2";"1";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"5";"4";"4";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";
"6206698812";"157236619";"2017-05-19 16:16:39";"2017-05-19 16:22:31";"157.253.9.112";"";"";"";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
