"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"En promedio �cu�ntas horas por semana ha tenido que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";
"6188761223";"156615051";"2017-05-09 10:38:14";"2017-05-09 10:48:39";"157.253.153.116";"";"";"";"";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6188756348";"156615051";"2017-05-09 10:40:14";"2017-05-09 10:46:38";"157.253.126.174";"";"";"";"";"5";"5";"5";"5";"4";"5";"5";"4";"4";"5";"2";"3";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"3";"3";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6187890773";"156615051";"2017-05-08 21:49:42";"2017-05-08 22:05:54";"181.53.113.11";"";"";"";"";"4";"4";"4";"5";"5";"2";"4";"4";"4";"4";"1";"5";"4";"4";"3";"3";"3";"4";"4";"2";"4";"4";"3";"3";"4";"4";"4";"5";"5";"5";"4";"3";"4";"3";"3";"3";"5";
"6187669091";"156615051";"2017-05-08 18:25:06";"2017-05-08 18:28:58";"186.84.199.19";"";"";"";"";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"1";"3";"5";"5";"4";"4";"4";"5";"4";"4";"5";"4";"5";"4";"4";"4";"4";"5";"5";"4";"4";"5";"4";"4";"4";"4";"4";
"6187589783";"156615051";"2017-05-08 17:31:55";"2017-05-08 17:44:34";"186.29.150.26";"";"";"";"";"4";"1";"3";"5";"4";"4";"2";"4";"4";"1";"1";"3";"3";"1";"1";"2";"3";"5";"1";"1";"3";"3";"5";"2";"1";"2";"3";"3";"4";"4";"3";"2";"4";"3";"1";"2";"3";
"6187504488";"156615051";"2017-05-08 16:42:03";"2017-05-08 16:49:54";"190.25.39.85";"";"";"";"";"4";"3";"4";"4";"4";"4";"2";"3";"3";"4";"2";"3";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"3";"5";"4";"4";"4";"4";"4";"2";"3";"1";"1";"1";"1";"3";"4";
"6187486577";"156615051";"2017-05-08 16:32:07";"2017-05-08 16:36:12";"181.61.63.117";"";"";"";"";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";
"6187483711";"156615051";"2017-05-08 16:29:55";"2017-05-08 16:36:50";"190.67.251.6";"";"";"";"";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"2";"3";"5";"5";"3";"2";"4";"4";"2";"3";"4";"2";"2";"2";"2";"3";"5";"3";"5";"5";"5";"5";"4";"3";"4";"4";"5";
"6187442678";"156615051";"2017-05-08 16:09:10";"2017-05-08 16:12:49";"157.253.192.40";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"3";"5";"5";"4";"5";"4";"5";"5";"3";"5";"4";"5";"4";"5";"4";"4";"5";"4";"2";"5";"4";"4";"4";"4";"4";"5";
"6187393860";"156615051";"2017-05-08 15:42:08";"2017-05-08 15:49:45";"157.253.195.218";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"4";"5";"5";"5";"2";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";
"6187368339";"156615051";"2017-05-08 15:29:37";"2017-05-08 15:32:43";"157.253.246.185";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6187219780";"156615051";"2017-05-08 14:19:52";"2017-05-08 14:25:26";"157.253.106.83";"";"";"";"";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"3";"5";"4";"2";"4";"3";"5";"4";"3";"3";"3";"2";"4";"2";"2";"4";"4";"";"";"";"";"";"";"";"";"";
"6187194802";"156615051";"2017-05-08 14:09:09";"2017-05-08 14:13:05";"186.80.171.238";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"1";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6187120561";"156615051";"2017-05-08 13:12:05";"2017-05-08 13:36:47";"157.253.227.165";"";"";"";"";"4";"4";"4";"4";"4";"5";"5";"4";"5";"5";"2";"3";"5";"5";"4";"4";"5";"5";"4";"5";"5";"4";"4";"3";"4";"4";"4";"3";"5";"5";"5";"4";"4";"4";"4";"5";"5";
"6186883237";"156615051";"2017-05-08 11:42:58";"2017-05-08 12:45:50";"157.253.12.125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
