"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase? Seleccione un n�mero.";"Teniendo en cuenta las caracter�sticas del curso/modulo/etc., �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6308937544";"159909588";"2017-07-25 21:08:28";"2017-07-25 23:14:55";"152.201.80.88";"";"";"";"";"1";"Codest26412";"1";"1,00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"3";"1";"4";"3";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"6308852154";"159909588";"2017-07-25 19:42:44";"2017-07-25 20:01:59";"190.24.121.56";"";"";"";"";"2";"Codest26411";"0";"2,00";"0";"4";"0";"1";"1";"1";"1";"1";"3";"2";"3";"3";"1";"10";"3";"1";"1";"1";"2";"0";"2";"3";"2";"0";"2";"4";"1";"2";"3";"1";"1";"4";"4";"3";"4";"2";"4";"1";"4";"1";"1";"1";"2";"4";"4";"2";"2";"1";
"6308840803";"159909588";"2017-07-25 19:33:02";"2017-07-25 19:34:32";"186.87.173.80";"";"";"";"";"1";"Codest26413";"1";"1,67";"4";"3";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6308721568";"159909588";"2017-07-25 18:01:54";"2017-07-25 18:16:50";"186.83.199.242";"";"";"";"";"5";"Codest26191";"1";"2,67";"5";"2";"1";"2";"1";"2";"2";"4";"2";"2";"0";"0";"2";"6";"3";"1";"1";"2";"1";"0";"4";"2";"1";"0";"4";"1";"1";"2";"2";"1";"1";"3";"4";"1";"4";"2";"2";"2";"3";"4";"2";"4";"1";"1";"1";"1";"2";"2";
"6308664042";"159909588";"2017-07-25 17:21:22";"2017-07-25 17:25:14";"161.18.77.57";"";"";"";"";"0";"Codest26413";"0";"1,00";"0";"4";"0";"0";"1";"3";"3";"5";"4";"4";"4";"4";"0";"2";"3";"0";"3";"0";"4";"0";"0";"0";"4";"0";"0";"4";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6308654948";"159909588";"2017-07-25 17:04:27";"2017-07-25 17:18:21";"186.29.157.64";"";"";"";"";"3";"Codest26413";"3";"3,00";"5";"3";"4";"3";"2";"1";"2";"4";"4";"4";"0";"0";"2";"4";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6308391517";"159909588";"2017-07-25 14:44:13";"2017-07-25 14:53:22";"152.202.52.216";"";"";"";"";"3";"Codest26411";"3";"3,33";"5";"4";"3";"4";"4";"3";"4";"4";"5";"5";"4";"4";"3";"5";"3";"4";"4";"4";"5";"3";"5";"4";"5";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"5";"4";"4";"4";"4";"4";"3";"4";"5";"5";"5";"5";"5";"5";
"6308338146";"159909588";"2017-07-25 14:14:53";"2017-07-25 14:27:21";"181.137.68.77";"";"";"";"";"0";"Codest26191";"0";"0,67";"0";"4";"0";"1";"1";"2";"2";"2";"3";"1";"1";"2";"1";"4";"3";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"2";"3";"2";"3";"3";"3";"1";"1";"2";"1";"1";"2";"1";"1";"1";
"6308293577";"159909588";"2017-07-25 13:52:09";"2017-07-25 14:08:27";"191.102.216.58";"";"";"";"";"0";"Codest26414";"0";"0,00";"0";"0";"0";"0";"3";"2";"4";"4";"3";"3";"0";"0";"0";"3";"3";"0";"2";"0";"2";"0";"4";"0";"3";"0";"3";"1";"5";"3";"3";"2";"4";"5";"5";"1";"5";"5";"4";"3";"3";"4";"4";"3";"4";"4";"3";"3";"3";"4";
"6308220081";"159909588";"2017-07-25 13:12:12";"2017-07-25 17:05:49";"181.57.246.191";"";"";"";"";"4";"Codest26411";"4";"4,00";"4";"4";"4";"4";"5";"5";"4";"3";"5";"5";"5";"5";"3";"7";"3";"4";"4";"3";"3";"3";"4";"3";"5";"3";"5";"4";"5";"4";"4";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6308202243";"159909588";"2017-07-25 12:45:54";"2017-07-25 13:10:59";"186.28.217.26";"";"";"";"";"5";"Codest26191";"3";"3,33";"5";"3";"3";"5";"4";"1";"4";"3";"4";"4";"3";"3";"3";"5";"3";"3";"1";"3";"5";"3";"4";"3";"4";"3";"4";"4";"4";"3";"5";"5";"2";"5";"5";"3";"4";"4";"4";"4";"4";"2";"2";"4";"5";"5";"5";"5";"4";"5";
"6308164538";"159909588";"2017-07-25 12:42:47";"2017-07-25 13:07:01";"186.31.221.192";"";"";"";"";"0";"Codest26191";"0";"0,67";"0";"2";"0";"2";"3";"2";"4";"4";"4";"2";"0";"0";"0";"5";"4";"1";"1";"4";"3";"0";"2";"4";"2";"0";"2";"4";"4";"4";"4";"3";"2";"1";"3";"1";"4";"2";"1";"4";"4";"1";"1";"1";"3";"4";"5";"5";"2";"3";
