"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado(a) estudiante.Los profesores del curso han decidido dar un bono de 3 d�cimas en un examen (el que quiera) a aquellas personas que respondan esta encuesta que estar� abierta hasta el pr�ximo lunes 22 de mayo.El objetivo es conocer su percepci�n sobre diferentes aspectos del curso de Matem�tica Estructural y L�gica (MEL) con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. No es necesario firmar la encuesta, su participaci�n es voluntaria y�por supuesto,�sus opiniones�no tendr�n ninguna repercusi�n acad�mica. La informaci�n ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga click en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.coGracias por su colaboraci�n.";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"En promedio, �cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"";"";"";"El/la profesor/a gener� un ambiente de confianza para que los estudiantes participaran e hicieran preguntas.";"�Particip� de la experiencia de gamificaci�n propuesta en este curso?";"�En promedio, cu�nto tiempo dedic� al juego durante estas dos semanas de juego? (incluye problemas mec�nicos, cognitivos y honor�ficos).";"La inversi�n de tiempo durante estas dos semanas de juego fue coherente con los cr�ditos de este curso.";"Tuve el tiempo suficiente para preparar clases, ir al sal�n y jugar durante estas dos semanas de juego.";"Las reglas y restricciones del juego se me presentaron con claridad de tal modo que sab�a c�mo deb�a jugar.";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su experiencia durante el juego:";"";"";"�Realiz� ejercicios honor�ficos?";"Los ejercicios honor�ficos me retaban a seguir practicando.";"Aprend� m�s en los laboratorios gamificados que con los laboratorios tradicionales (no gamificados).";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su experiencia durante el juego:";"";"";"�Compr� alguna pista para resolver ejercicios durante las clases de laboratorio?�";"Fue �til comprar una pista para que me ayudara a resolver los ejercicios durante las clases de laboratorio.";"�Compr� alguna gu�a del profesor para resolver ejercicios durante�las clases de laboratorio?";"Fue �til comprar una gu�a del profesor que me ayudara a resolver los ejercicios durante las clases de laboratorio.";"La retroalimentaci�n que recib� durante el juego me permiti� saber si me acercaba a la respuesta correcta.";"El juego me dio retroalimentaci�n valiosa para mi aprendizaje.";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su rol durante el juego:";"";"";"";"";"";
"6204979987";"156967850";"2017-05-18 18:49:19";"2017-05-18 19:26:27";"186.84.5.136";"Login estudiante6660";"";"";"";"1";"4";"4";"2";"5";"4";"2";"5";"5";"6";"4";"5";"5";"4";"4";"2";"2";"4";"2";"4";"4";"2";"2";"4";"5";"5";"4";"4";"4";"4";"4";"2";"4";"5";"1";"7";"2";"2";"4";"2";"2";"1";"2";"";"1";"2";"2";"1";"1";"1";"2";"";"2";"";"4";"2";"2";"2";"4";"2";"2";"2";"2";"2";"2";"2";
"6204966903";"156967850";"2017-05-18 18:39:08";"2017-05-18 18:45:19";"186.85.106.147";"Login estudiante11180";"";"";"";"1";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"5";"5";"4";"3";"5";"4";"4";"4";"4";"3";"3";"3";"3";"4";"4";"3";"4";"5";"4";"3";"4";"4";"4";"1";"5";"4";"4";"2";"3";"3";"4";"2";"";"2";"3";"5";"3";"3";"3";"2";"";"2";"";"3";"2";"3";"3";"4";"4";"3";"3";"4";"4";"4";"3";
"6200988182";"156967850";"2017-05-16 20:40:45";"2017-05-16 20:53:48";"190.25.161.45";"Login estudiante11186";"";"";"";"1";"4";"4";"3";"4";"4";"4";"5";"";"5";"4";"4";"4";"4";"4";"4";"5";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"1";"4";"4";"3";"2";"2";"3";"3";"2";"";"1";"3";"4";"3";"3";"3";"2";"";"2";"";"2";"3";"3";"3";"3";"3";"2";"2";"3";"2";"3";"2";
"6199606672";"156967850";"2017-05-16 8:18:37";"2017-05-16 8:29:58";"157.253.201.144";"Login estudiante8587";"";"";"";"1";"4";"2";"2";"4";"4";"3";"4";"4";"4";"4";"2";"4";"4";"2";"5";"3";"3";"5";"5";"3";"5";"5";"5";"5";"5";"4";"4";"4";"5";"3";"4";"5";"5";"1";"2";"3";"2";"1";"4";"4";"3";"2";"";"1";"2";"4";"1";"1";"4";"2";"";"2";"";"4";"3";"2";"2";"2";"2";"2";"4";"2";"1";"4";"2";
"6199118402";"156967850";"2017-05-15 23:21:46";"2017-05-15 23:41:27";"200.118.83.41";"Login estudiante11179";"";"";"";"1";"5";"5";"5";"5";"3";"5";"4";"4";"4";"3";"4";"4";"5";"5";"4";"5";"5";"4";"3";"4";"5";"5";"4";"4";"4";"4";"5";"4";"5";"4";"3";"5";"5";"1";"5";"4";"3";"3";"4";"4";"3";"2";"";"4";"3";"3";"4";"4";"3";"2";"";"2";"";"3";"4";"3";"3";"4";"3";"4";"3";"4";"4";"3";"3";
"6199112125";"156967850";"2017-05-15 23:13:20";"2017-05-15 23:33:43";"181.128.221.4";"Login estudiante11178";"";"";"";"1";"5";"4";"4";"5";"5";"3";"5";"5";"4";"3";"3";"5";"4";"4";"5";"5";"5";"5";"3";"5";"4";"4";"4";"4";"4";"5";"5";"4";"4";"5";"4";"4";"4";"1";"5";"3";"3";"2";"5";"4";"3";"2";"";"1";"4";"4";"1";"1";"1";"2";"";"2";"";"2";"2";"2";"3";"3";"3";"2";"3";"4";"1";"2";"1";
"6199102487";"156967850";"2017-05-15 23:00:55";"2017-05-16 10:21:21";"190.130.97.8";"Login estudiante11177";"";"";"";"1";"4";"3";"3";"3";"4";"4";"4";"4";"3";"4";"2";"4";"2";"2";"2";"5";"3";"3";"4";"3";"4";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6198816592";"156967850";"2017-05-15 18:25:01";"2017-05-15 18:38:01";"186.30.139.34";"Login estudiante8574";"";"";"";"1";"2";"3";"4";"4";"2";"1";"4";"3";"6";"4";"1";"1";"1";"1";"1";"2";"4";"3";"1";"5";"1";"1";"1";"4";"3";"4";"2";"3";"4";"2";"1";"4";"5";"1";"7";"1";"1";"1";"1";"1";"1";"2";"";"1";"1";"1";"1";"1";"1";"2";"";"2";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";
"6198791410";"156967850";"2017-05-15 18:06:42";"2017-05-15 18:19:22";"179.18.35.218";"Login estudiante7902";"";"";"";"1";"5";"5";"4";"5";"5";"5";"5";"5";"6";"3";"3";"4";"3";"3";"3";"4";"4";"4";"5";"5";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"5";"5";"5";"1";"3";"5";"5";"4";"5";"4";"4";"2";"";"3";"4";"5";"5";"5";"5";"2";"";"2";"";"3";"3";"5";"5";"5";"5";"3";"3";"3";"2";"5";"1";
"6198786204";"156967850";"2017-05-15 18:03:19";"2017-05-15 18:29:21";"186.28.32.30";"Login estudiante11183";"";"";"";"1";"4";"3";"2";"4";"5";"5";"4";"5";"4";"3";"3";"4";"4";"4";"4";"5";"4";"2";"5";"4";"2";"1";"2";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"1";"5";"4";"4";"1";"2";"4";"1";"2";"";"1";"1";"4";"1";"1";"1";"2";"";"2";"";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"6198759141";"156967850";"2017-05-15 17:44:01";"2017-05-15 18:02:35";"190.24.59.56";"Login estudiante7963";"";"";"";"1";"4";"3";"2";"5";"5";"5";"3";"3";"7";"3";"2";"5";"3";"4";"3";"2";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"2";"1";"6";"5";"5";"5";"5";"5";"5";"2";"";"1";"2";"5";"5";"3";"5";"2";"";"2";"";"4";"4";"4";"4";"5";"5";"4";"4";"4";"1";"5";"1";
"6198744444";"156967850";"2017-05-15 17:33:30";"2017-05-15 17:43:39";"157.253.202.17";"Login estudiante6346";"";"";"";"1";"5";"5";"5";"4";"4";"4";"5";"4";"5";"3";"5";"5";"4";"4";"3";"4";"4";"3";"4";"3";"3";"2";"2";"4";"5";"4";"4";"3";"4";"4";"3";"4";"4";"1";"4";"2";"2";"3";"3";"3";"2";"2";"";"2";"3";"4";"3";"3";"3";"1";"5";"2";"";"2";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";
"6198740944";"156967850";"2017-05-15 17:31:06";"2017-05-15 17:58:23";"186.80.67.46";"Login estudiante11190";"";"";"";"1";"4";"4";"3";"4";"4";"3";"3";"3";"5";"3";"4";"4";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"2";"1";"4";"5";"1";"9";"4";"4";"3";"4";"2";"2";"2";"";"3";"3";"3";"4";"4";"4";"2";"";"2";"";"3";"3";"3";"3";"2";"2";"2";"2";"4";"2";"3";"3";
"6198641838";"156967850";"2017-05-15 16:32:40";"2017-05-15 16:43:50";"190.84.9.5";"Login estudiante11182";"";"";"";"1";"4";"5";"4";"4";"5";"3";"3";"3";"6";"4";"5";"4";"3";"4";"4";"3";"4";"3";"3";"3";"4";"4";"4";"4";"5";"5";"4";"4";"3";"4";"4";"4";"4";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6198608654";"156967850";"2017-05-15 16:15:41";"2017-05-15 18:19:52";"181.148.77.101";"Login estudiante11187";"";"";"";"1";"1";"1";"1";"2";"2";"4";"2";"2";"6";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"2";"5";"2";"2";"2";"2";"2";"2";"2";"2";"4";"1";"7";"2";"5";"2";"2";"2";"2";"2";"";"1";"2";"1";"1";"1";"1";"1";"4";"1";"4";"2";"2";"2";"4";"3";"4";"2";"4";"4";"4";"4";"4";
"6198608334";"156967850";"2017-05-15 16:15:31";"2017-05-15 16:27:56";"177.252.252.111";"Login estudiante11189";"";"";"";"1";"4";"4";"4";"5";"5";"5";"5";"5";"7";"4";"5";"5";"2";"2";"4";"5";"5";"5";"4";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"4";"4";"3";"4";"2";"2";"2";"2";"";"1";"4";"2";"2";"2";"2";"2";"";"2";"";"3";"2";"4";"2";"2";"2";"2";"4";"4";"4";"3";"2";
