"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado(a) estudiante.�Los profesores del curso han decidido dar un bono de 3 d�cimas en un examen (el que quiera) a aquellas personas que respondan esta encuesta que estar� abierta hasta el pr�ximo lunes 22 de mayo.El objetivo es conocer su percepci�n sobre diferentes aspectos del curso de Matem�tica Estructural y L�gica (MEL) con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. No es necesario firmar la encuesta, su participaci�n es voluntaria y�por supuesto,�sus opiniones�no tendr�n ninguna repercusi�n acad�mica. La informaci�n ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga click en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.coGracias por su colaboraci�n.";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"En promedio, �cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones:";"";"";"";"";"";"";"";"El/la profesor/a gener� un ambiente de confianza para que los estudiantes participaran e hicieran preguntas.";"�Particip� de la experiencia de gamificaci�n propuesta en este curso?";"�En promedio, cu�nto tiempo dedic� al juego durante estas dos semanas de juego? (incluye problemas mec�nicos, cognitivos y honor�ficos).";"La inversi�n de tiempo durante estas dos semanas de juego fue coherente con los cr�ditos de este curso.";"Tuve el tiempo suficiente para preparar clases, ir al sal�n y jugar durante estas dos semanas de juego.";"Las reglas y restricciones del juego se me presentaron con claridad de tal modo que sab�a c�mo deb�a jugar.";"�Qu� problema tuvo? �Qu� recomendar�a para solucionarlo?";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su experiencia durante el juego:";"";"";"�Realiz� ejercicios honor�ficos?";"Los ejercicios honor�ficos me retaban a seguir practicando.";"Aprend� m�s en los laboratorios gamificados que con los laboratorios tradicionales (no gamificados).";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su experiencia durante el juego:";"";"";"�Compr� alguna pista para resolver ejercicios durante las clases de laboratorio?�";"Fue �til comprar una pista para que me ayudara a resolver los ejercicios durante las clases de laboratorio.";"�Compr� alguna gu�a del profesor para resolver ejercicios durante�las clases de laboratorio?";"Fue �til comprar una gu�a del profesor que me ayudara a resolver los ejercicios durante las clases de laboratorio.";"La retroalimentaci�n que recib� durante el juego me permiti� saber si me acercaba a la respuesta correcta.";"�Por qu� cree que la retroalimentaci�n no le permiti� saber si se acercaba a la respuesta correcta?";"El juego me dio retroalimentaci�n valiosa para mi aprendizaje.";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con las siguientes dos afirmaciones relacionadas a su experiencia durante el juego:";"";"Por favor indique qu� tan de acuerdo est� con cada una de las siguientes afirmaciones relacionadas a su rol durante el juego:";"";"";"";"";"";
"6204179558";"156964662";"2017-05-18 12:09:26";"2017-05-18 12:16:13";"157.253.214.202";"Login estudiante11160";"";"";"";"1";"4";"3";"3";"5";"4";"3";"5";"4";"1";"3";"3";"4";"5";"4";"5";"5";"4";"4";"2";"4";"2";"3";"3";"4";"5";"5";"5";"4";"4";"5";"4";"4";"5";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6204107634";"156964662";"2017-05-18 11:36:11";"2017-05-18 15:00:44";"177.252.252.5";"Login estudiante11162";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"4";"5";"5";"5";"";"5";"5";"5";"1";"5";"3";"4";"5";"5";"5";"5";"1";"4";"2";"";"5";"";"5";"5";"5";"3";"4";"5";"3";"4";"4";"5";"4";
"6203207187";"156964662";"2017-05-17 23:32:06";"2017-05-18 1:33:43";"186.29.120.83";"Login estudiante11163";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6200971833";"156964662";"2017-05-16 20:28:06";"2017-05-16 20:40:24";"186.80.26.34";"Login estudiante7142";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"9";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"8";"4";"2";"4";"";"5";"5";"5";"2";"";"3";"5";"5";"5";"5";"5";"2";"";"2";"";"3";"";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";"1";
"6200969930";"156964662";"2017-05-16 20:26:38";"2017-05-16 20:37:35";"181.143.169.162";"Login estudiante11164";"";"";"";"1";"3";"3";"4";"4";"4";"3";"3";"3";"11";"4";"3";"4";"4";"4";"3";"4";"4";"4";"2";"5";"2";"2";"3";"4";"4";"4";"4";"3";"3";"4";"4";"4";"5";"1";"7";"3";"2";"4";"";"2";"2";"2";"2";"";"1";"2";"2";"2";"2";"2";"2";"";"2";"";"3";"";"2";"2";"2";"2";"2";"2";"4";"3";"2";"4";"3";
"6199817156";"156964662";"2017-05-16 10:06:00";"2017-05-16 10:33:37";"186.84.164.220";"Login estudiante2594";"";"";"";"1";"5";"5";"5";"5";"5";"4";"4";"4";"7";"4";"5";"5";"3";"3";"3";"4";"4";"3";"3";"5";"3";"3";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"6";"4";"2";"4";"";"4";"4";"3";"2";"";"1";"5";"5";"4";"3";"5";"2";"";"2";"";"3";"";"3";"2";"2";"2";"2";"3";"4";"4";"4";"4";"3";
"6199202888";"156964662";"2017-05-16 1:25:18";"2017-05-16 1:55:26";"157.253.88.68";"Login estudiante6272";"";"";"";"1";"5";"5";"5";"4";"4";"3";"3";"4";"8";"1";"4";"3";"2";"3";"4";"3";"2";"2";"4";"3";"3";"3";"3";"2";"3";"3";"4";"4";"4";"4";"4";"4";"4";"1";"4";"4";"4";"5";"";"2";"3";"3";"2";"";"2";"3";"3";"4";"4";"4";"2";"";"2";"";"4";"";"3";"4";"5";"4";"4";"3";"3";"4";"4";"3";"3";
"6199107053";"156964662";"2017-05-15 23:06:54";"2017-05-15 23:21:09";"186.29.57.124";"Login estudiante6418";"";"";"";"1";"4";"4";"5";"4";"5";"4";"4";"5";"4";"4";"4";"5";"5";"5";"4";"5";"4";"3";"5";"4";"5";"4";"4";"5";"5";"5";"5";"4";"3";"3";"4";"3";"5";"1";"9";"5";"4";"5";"";"4";"5";"5";"2";"";"5";"5";"4";"5";"5";"5";"1";"4";"2";"";"5";"";"5";"4";"4";"4";"5";"4";"5";"4";"5";"5";"4";
"6198974234";"156964662";"2017-05-15 20:45:37";"2017-05-19 11:05:28";"190.84.160.139";"Login estudiante11165";"";"";"";"1";"4";"4";"4";"4";"3";"3";"4";"3";"2";"3";"3";"4";"4";"3";"3";"4";"4";"4";"3";"4";"4";"4";"4";"5";"4";"4";"3";"3";"4";"4";"4";"3";"4";"1";"3";"4";"3";"4";"";"4";"3";"2";"2";"";"2";"3";"4";"3";"3";"3";"2";"";"2";"";"3";"";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"4";
"6198960668";"156964662";"2017-05-15 20:31:47";"2017-05-15 22:24:01";"190.156.212.9";"Login estudiante6063";"";"";"";"1";"5";"5";"5";"5";"5";"4";"4";"4";"5";"4";"5";"5";"4";"4";"4";"5";"4";"4";"3";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"5";"1";"7";"4";"3";"4";"";"2";"4";"3";"2";"";"3";"4";"4";"4";"4";"4";"2";"";"2";"";"3";"";"2";"4";"4";"2";"2";"3";"2";"3";"3";"3";"3";
"6198935695";"156964662";"2017-05-15 20:06:40";"2017-05-15 20:35:34";"186.28.34.20";"Login estudiante11175";"";"";"";"1";"4";"1";"1";"5";"3";"3";"5";"5";"11";"4";"1";"3";"4";"3";"1";"3";"5";"5";"1";"5";"3";"1";"1";"5";"5";"3";"5";"5";"5";"4";"4";"4";"5";"1";"7";"3";"3";"3";"";"3";"3";"1";"2";"";"2";"3";"1";"1";"1";"3";"2";"";"2";"";"3";"";"2";"1";"1";"1";"1";"1";"3";"3";"4";"1";"3";
"6198927643";"156964662";"2017-05-15 19:58:42";"2017-05-15 20:44:24";"186.154.52.10";"Login estudiante11172";"";"";"";"1";"5";"3";"3";"4";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"3";"4";"2";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"7";"2";"4";"4";"";"2";"4";"2";"2";"";"3";"2";"5";"5";"5";"5";"1";"4";"1";"5";"5";"";"4";"4";"4";"4";"4";"3";"3";"3";"4";"3";"3";
"6198775332";"156964662";"2017-05-15 17:55:25";"2017-05-15 18:32:31";"157.253.167.110";"Login estudiante11173";"";"";"";"1";"2";"2";"2";"2";"2";"2";"2";"2";"5";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"5";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"5";"1";"4";"4";"3";"3";"";"3";"3";"3";"2";"";"1";"3";"3";"2";"2";"2";"1";"3";"2";"";"2";"Porque no estaba muy bien explicada";"2";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";
"6198730638";"156964662";"2017-05-15 17:24:14";"2017-05-15 17:52:45";"181.245.229.94";"Login estudiante11168";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"7";"3";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"6";"4";"5";"5";"";"3";"4";"3";"2";"";"2";"5";"5";"5";"5";"5";"1";"5";"1";"5";"2";"Por ejemplo en los ejercicios mec�nicos, uno seleccionaba una respuesta que cre�a pero sal�a complemtamente mal porque de pronto faltaba escoger alguna opci�n. Entonces no se sab�a si uno se acercaba a la respuesta o estaba mal la opci�n.  ";"3";"5";"5";"5";"5";"5";"3";"5";"3";"5";"3";
"6198693238";"156964662";"2017-05-15 17:01:18";"2017-05-15 17:57:50";"186.84.42.47";"Login estudiante11161";"";"";"";"1";"5";"2";"4";"5";"5";"1";"5";"5";"7";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"11";"4";"1";"5";"";"5";"5";"5";"2";"";"5";"5";"1";"5";"5";"5";"1";"5";"2";"";"5";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6198676209";"156964662";"2017-05-15 16:51:21";"2017-05-15 17:07:21";"157.253.201.175";"Login estudiante11169";"";"";"";"1";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"3";"4";"4";"2";"3";"4";"3";"3";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"4";"1";"5";"4";"3";"5";"";"4";"4";"3";"2";"";"3";"3";"3";"4";"3";"4";"1";"4";"1";"4";"4";"";"4";"4";"1";"1";"1";"4";"3";"4";"4";"4";"4";
"6198665137";"156964662";"2017-05-15 16:45:07";"2017-05-15 17:31:20";"157.253.201.174";"Login estudiante8277";"";"";"";"1";"4";"3";"4";"5";"4";"3";"1";"3";"13";"5";"4";"4";"4";"2";"4";"4";"4";"4";"5";"4";"4";"4";"4";"3";"5";"4";"4";"4";"4";"4";"4";"3";"4";"1";"8";"4";"2";"4";"";"3";"2";"2";"2";"";"4";"4";"2";"4";"4";"4";"2";"";"2";"";"4";"";"4";"4";"4";"4";"4";"2";"2";"4";"4";"4";"4";
"6198660930";"156964662";"2017-05-15 16:42:51";"2017-05-15 17:02:57";"181.54.84.171";"Login estudiante8283";"";"";"";"1";"5";"5";"5";"4";"5";"5";"4";"4";"6";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"5";"1";"7";"4";"2";"4";"";"4";"5";"4";"2";"";"3";"4";"4";"4";"4";"5";"1";"4";"1";"5";"4";"";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";
"6198646343";"156964662";"2017-05-15 16:35:03";"2017-05-15 16:51:55";"157.253.212.245";"Login estudiante6426";"";"";"";"1";"4";"3";"3";"4";"4";"4";"5";"5";"3";"3";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"2";"2";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"1";"4";"4";"2";"4";"";"5";"4";"4";"2";"";"4";"4";"4";"5";"4";"4";"2";"";"2";"";"4";"";"4";"2";"2";"4";"4";"4";"4";"4";"4";"3";"3";
"6198646059";"156964662";"2017-05-15 16:34:54";"2017-05-15 17:07:11";"157.253.201.164";"Login estudiante6456";"";"";"";"1";"5";"5";"5";"5";"5";"3";"4";"4";"7";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"3";"4";"3";"3";"4";"5";"5";"4";"5";"5";"4";"4";"4";"5";"1";"10";"5";"4";"4";"";"4";"4";"4";"2";"";"3";"4";"4";"5";"5";"5";"2";"";"2";"";"4";"";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6198643890";"156964662";"2017-05-15 16:33:44";"2017-05-15 16:43:37";"157.253.201.163";"Login estudiante6420";"";"";"";"1";"4";"4";"5";"5";"5";"5";"5";"5";"8";"4";"5";"5";"5";"5";"";"";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"8";"2";"3";"4";"";"5";"4";"5";"2";"";"4";"4";"4";"4";"4";"4";"2";"";"2";"";"4";"";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"3";
"6198602482";"156964662";"2017-05-15 16:12:37";"2017-05-15 16:33:05";"152.201.164.152";"Login estudiante5485";"";"";"";"1";"1";"1";"1";"5";"4";"4";"5";"5";"7";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"2";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"4";"4";"3";"4";"";"4";"4";"3";"2";"";"3";"4";"5";"5";"5";"5";"2";"4";"1";"4";"3";"";"4";"4";"4";"4";"4";"3";"4";"5";"5";"5";"3";
