"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado/a estudiante,Soy la profesora Nathalia Franco Borrero del curso Liderazgo, Teor�a y Pr�ctica que usted tom� el semestre pasado. Agradecer�a su participaci�n en la siguiente encuesta.El objetivo es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso con el fin de identificar fortalezas y debilidades que permitan su mejoramiento.Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar, por favor marque �S� y luego haga click en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co
Gracias por su colaboraci�n.";"CR_Por favor escriba su c�digo de estudiante.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6344750475";"160654255";"2017-08-16 18:45:34";"2017-08-16 18:54:10";"181.62.23.30";"Login estudiante12339";"";"";"";"1";"Codest15885";"5";"5";"5";"5";"5";"4";"5";"5";"5";"0";"0";"0";"3";"3";"5";"5";"5";"5";"5";"3";"4";"4";"4";"4";"5";"4";"3";"5";"5";"5";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";
"6344691695";"160654255";"2017-08-16 18:05:22";"2017-08-16 18:12:36";"181.151.56.139";"Login estudiante15886";"";"";"";"";"Codest15887";"3";"4";"4";"4";"5";"5";"5";"0";"0";"0";"0";"0";"4";"4";"4";"5";"3";"4";"3";"3";"2";"3";"4";"4";"5";"5";"4";"5";"4";"4";"3";"3";"5";"4";"3";"3";"4";"5";"5";"4";"4";"5";"5";"5";"5";"4";
"6344589870";"160654255";"2017-08-16 17:01:47";"2017-08-16 17:13:30";"157.253.164.213";"Login estudiante15888";"";"";"";"1";"Codest15889";"5";"5";"2";"5";"4";"5";"5";"5";"5";"0";"0";"0";"4";"3";"4";"4";"4";"4";"5";"4";"5";"4";"2";"5";"5";"5";"5";"5";"4";"4";"4";"3";"4";"5";"3";"5";"4";"5";"5";"5";"5";"5";"4";"4";"5";"5";
"6344555758";"160654255";"2017-08-16 16:28:11";"2017-08-16 16:45:40";"181.48.208.66";"Login estudiante15890";"";"";"";"1";"Codest15891";"5";"5";"5";"5";"4";"5";"5";"5";"4";"4";"4";"5";"4";"3";"5";"5";"5";"5";"5";"4";"5";"5";"4";"4";"3";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"5";"4";"5";"5";
"6344499503";"160654255";"2017-08-16 16:10:36";"2017-08-16 16:14:44";"157.253.170.161";"Login estudiante6495";"";"";"";"1";"Codest15892";"5";"5";"5";"5";"5";"5";"3";"5";"5";"3";"3";"1";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6343989968";"160654255";"2017-08-16 11:41:22";"2017-08-16 12:01:34";"190.147.81.177";"Login estudiante15893";"";"";"";"1";"Codest15894";"4";"5";"4";"4";"3";"4";"4";"4";"3";"0";"0";"3";"7";"3";"4";"4";"4";"4";"3";"4";"5";"5";"3";"4";"4";"5";"4";"5";"4";"4";"3";"3";"4";"4";"3";"4";"5";"4";"4";"5";"4";"4";"4";"3";"4";"5";
"6339857363";"160654255";"2017-08-14 16:56:00";"2017-08-14 17:01:21";"157.253.186.150";"Login estudiante12255";"";"";"";"1";"Codest15895";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"6";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"4";
"6338065079";"160654255";"2017-08-13 13:49:37";"2017-08-13 14:11:23";"186.29.180.109";"Login estudiante15896";"";"";"";"1";"Codest15897";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"4";"5";"2";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";
"6337911521";"160654255";"2017-08-13 9:20:59";"2017-08-13 9:33:02";"73.253.254.221";"Login estudiante4407";"";"";"";"1";"Codest15898";"4";"5";"5";"5";"4";"5";"3";"5";"5";"0";"0";"0";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"5";"5";"3";"4";"4";"4";"5";"3";"5";"5";"2";"4";"3";"5";"5";"5";"3";"5";"4";"3";"4";"5";
"6337900879";"160654255";"2017-08-13 8:59:02";"2017-08-13 9:07:59";"186.80.59.67";"Login estudiante11223";"";"";"";"1";"Codest15899";"4";"4";"5";"5";"5";"4";"3";"4";"4";"3";"3";"3";"4";"3";"4";"4";"4";"4";"4";"4";"4";"3";"2";"5";"5";"5";"5";"5";"4";"4";"4";"2";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"4";"4";"5";"5";
"6337525608";"160654255";"2017-08-12 16:53:46";"2017-08-12 17:01:46";"152.201.48.12";"Login estudiante15900";"";"";"";"";"Codest15901";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"4";"6";"4";"4";"4";"3";"4";"3";"4";"4";"5";"3";"3";"4";"5";"4";"5";"3";"3";"4";"3";"4";"4";"3";"4";"4";"4";"4";"3";"4";"4";"3";"3";"4";"4";
"6337507058";"160654255";"2017-08-12 16:19:40";"2017-08-12 16:19:51";"181.49.77.238";"Login estudiante12333";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6337456545";"160654255";"2017-08-12 14:49:06";"2017-08-12 14:55:50";"186.31.52.11";"Login estudiante15902";"";"";"";"1";"Codest15903";"5";"5";"4";"4";"5";"5";"4";"5";"5";"0";"0";"3";"4";"3";"4";"4";"5";"4";"4";"4";"5";"5";"5";"5";"3";"2";"5";"5";"3";"4";"4";"2";"5";"5";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"5";"5";
"6337451295";"160654255";"2017-08-12 14:40:05";"2017-08-12 14:47:34";"190.85.99.5";"Login estudiante6074";"";"";"";"";"Codest15904";"4";"5";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6337439708";"160654255";"2017-08-12 14:20:04";"2017-08-12 14:24:15";"190.84.1.13";"Login estudiante15905";"";"";"";"1";"Codest15906";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"3";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"3";"4";"2";"4";"4";"3";"3";"3";"5";"4";"2";"3";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";
