"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6343568585";"160486251";"2017-08-16 8:10:36";"2017-08-16 8:13:24";"181.57.247.173";"Login estudiante16600";"";"";"";"2";"4";"3";"4";"2";"2";"3";"4";"3";"0";"0";"4";"3";"4";"4";"3";"3";"3";"3";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6340709295";"160486251";"2017-08-15 0:01:01";"2017-08-15 0:15:55";"201.245.227.54";"Login estudiante16601";"";"";"";"2";"2";"2";"1";"5";"1";"4";"2";"3";"4";"3";"3";"15";"5";"3";"1";"4";"3";"1";"1";"4";"4";"2";"4";"1";"2";"1";"4";"3";"1";"3";"4";"4";"3";"4";"4";"2";"2";"1";"2";"2";"2";"2";"1";"4";
"6340688601";"160486251";"2017-08-14 23:45:36";"2017-08-14 23:54:29";"190.8.221.180";"Login estudiante4760";"";"";"";"2";"3";"3";"4";"4";"4";"4";"3";"3";"4";"4";"0";"6";"4";"4";"2";"2";"4";"2";"5";"3";"3";"2";"3";"3";"4";"2";"4";"4";"3";"2";"3";"5";"2";"2";"2";"4";"4";"1";"4";"4";"2";"4";"1";"2";
"6340433830";"160486251";"2017-08-14 21:06:00";"2017-08-14 21:11:58";"152.201.168.73";"Login estudiante16602";"";"";"";"4";"3";"5";"5";"4";"3";"4";"4";"4";"4";"3";"3";"5";"4";"4";"4";"5";"5";"4";"4";"4";"5";"5";"4";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"4";"4";"4";"5";
"6340123212";"160486251";"2017-08-14 18:45:21";"2017-08-14 18:59:19";"201.216.6.89";"Login estudiante16603";"";"";"";"3";"3";"3";"5";"5";"5";"5";"5";"5";"3";"3";"3";"9";"5";"3";"1";"3";"2";"2";"3";"2";"2";"5";"3";"4";"1";"3";"1";"4";"2";"3";"3";"2";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";
"6340023329";"160486251";"2017-08-14 18:03:42";"2017-08-14 18:04:04";"152.202.39.234";"Login estudiante7386";"";"";"";"4";"4";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6335786829";"160486251";"2017-08-11 9:25:04";"2017-08-11 9:40:35";"190.16.162.163";"Login estudiante16604";"";"";"";"2";"3";"1";"2";"2";"1";"2";"3";"3";"3";"3";"2";"11";"5";"2";"1";"2";"2";"2";"2";"2";"2";"2";"4";"5";"5";"3";"5";"5";"5";"2";"3";"5";"5";"5";"5";"1";"1";"1";"5";"3";"5";"5";"1";"5";
"6335215363";"160486251";"2017-08-10 22:35:54";"2017-08-10 22:43:07";"181.50.189.218";"Login estudiante16605";"";"";"";"4";"5";"4";"4";"4";"5";"3";"5";"5";"5";"5";"5";"11";"4";"3";"5";"4";"4";"4";"5";"4";"5";"4";"4";"5";"5";"5";"4";"4";"4";"3";"4";"5";"4";"3";"2";"4";"4";"5";"5";"5";"5";"5";"5";"5";
"6334761181";"160486251";"2017-08-10 16:29:04";"2017-08-10 16:37:36";"186.84.152.236";"Login estudiante16606";"";"";"";"3";"3";"3";"3";"4";"2";"4";"4";"4";"0";"0";"2";"5";"4";"2";"3";"2";"3";"4";"2";"2";"3";"2";"1";"4";"5";"4";"3";"3";"2";"1";"2";"4";"2";"3";"2";"4";"4";"3";"4";"4";"4";"3";"3";"4";
"6334250007";"160486251";"2017-08-10 12:33:06";"2017-08-10 12:34:02";"190.27.0.102";"Login estudiante16607";"";"";"";"4";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"7";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6334213211";"160486251";"2017-08-10 12:22:31";"2017-08-10 12:28:14";"190.158.134.151";"Login estudiante6380";"";"";"";"3";"4";"3";"4";"2";"1";"4";"5";"4";"3";"3";"3";"7";"5";"4";"2";"4";"4";"2";"5";"4";"5";"3";"1";"4";"3";"5";"4";"4";"3";"3";"3";"5";"4";"5";"5";"4";"4";"4";"3";"2";"3";"4";"4";"5";
"6334094894";"160486251";"2017-08-10 11:26:57";"2017-08-10 11:40:24";"201.234.247.196";"Login estudiante16608";"";"";"";"2";"2";"2";"2";"2";"4";"4";"4";"4";"2";"2";"0";"9";"5";"2";"1";"4";"4";"4";"1";"4";"3";"4";"5";"4";"4";"2";"5";"5";"2";"1";"3";"5";"1";"1";"1";"5";"5";"3";"3";"4";"4";"4";"3";"3";
"6334034647";"160486251";"2017-08-10 10:58:28";"2017-08-10 12:32:21";"190.127.142.252";"Login estudiante16609";"";"";"";"5";"5";"5";"5";"4";"2";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"4";"5";"4";"3";"5";"4";"5";"4";"3";"3";"4";"5";"5";"4";"4";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";
"6333930753";"160486251";"2017-08-10 10:06:39";"2017-08-10 10:16:16";"47.16.108.107";"Login estudiante16610";"";"";"";"3";"3";"3";"3";"4";"4";"3";"2";"2";"3";"3";"3";"6";"4";"3";"3";"4";"4";"4";"3";"2";"3";"4";"3";"4";"5";"5";"4";"4";"3";"3";"3";"5";"3";"3";"4";"5";"5";"4";"4";"4";"4";"4";"3";"4";
"6333868125";"160486251";"2017-08-10 9:31:42";"2017-08-10 9:40:18";"186.82.200.245";"Login estudiante3555";"";"";"";"4";"5";"5";"4";"5";"2";"5";"5";"5";"5";"5";"5";"10";"4";"5";"4";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"5";"3";"3";"2";"1";"2";"5";"2";"2";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";
