"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado estudiante,
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso "Calidad Educativa en Am�rica Latina" con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar, por favor marque �S� y luego haga click en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co
Gracias por su colaboraci�n.";"CR_Por favor escriba su c�digo de estudiante.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �cu�ntas horas por semana tuvo que dedicar a las actividades del curso?";"O11_�C�mo considera la carga acad�mica de este curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6535693170";"165793833";"2017-11-21 8:10:04";"2017-11-30 18:06:28";"147.75.127.174";"Login estudiante10567";"";"";"";"1";"Codest16273";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"13";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"4";"4";"5";"4";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6534742178";"165793833";"2017-11-20 20:12:50";"2017-11-20 22:56:38";"181.49.75.210";"Login estudiante10585";"";"";"";"1";"Codest16274";"5";"4";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"14";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"5";"5";"4";"5";"5";"3";"4";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6534675513";"165793833";"2017-11-20 19:28:07";"2017-11-20 19:33:10";"190.9.207.31";"Login estudiante13231";"";"";"";"1";"Codest16275";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"6";"4";"4";"4";"5";"5";"5";"5";"4";"5";"4";"4";"3";"5";"5";"5";"3";"4";"4";"3";"4";"3";"4";"5";"3";"5";"4";"3";"5";"5";"4";"5";"5";"5";"4";"5";"5";
"6534669524";"165793833";"2017-11-20 19:24:14";"2017-11-20 19:30:46";"186.85.95.86";"Login estudiante11884";"";"";"";"1";"Codest16276";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"4";"8";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"4";"4";"5";"5";"4";"5";"5";"5";"5";"5";"4";"4";"5";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6534635253";"165793833";"2017-11-20 19:02:19";"2017-11-20 19:13:24";"181.60.169.103";"Login estudiante2510";"";"";"";"1";"Codest16277";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"7";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"2";"5";"4";"5";"5";"5";"5";"4";"4";"2";"4";"4";"1";"4";"5";"1";"5";"5";"5";"5";"4";"4";"4";"4";"5";
"6534629875";"165793833";"2017-11-20 18:59:07";"2017-11-20 19:33:40";"147.75.115.250";"Login estudiante10587";"";"";"";"1";"Codest16278";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"14";"3";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"3";"2";"3";"4";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";
"6534584681";"165793833";"2017-11-20 18:31:56";"2017-11-20 18:39:22";"157.253.107.155";"Login estudiante13236";"";"";"";"1";"Codest16279";"4";"4";"4";"1";"4";"2";"4";"5";"4";"0";"0";"3";"11";"5";"4";"3";"4";"5";"4";"2";"2";"4";"2";"1";"2";"2";"1";"1";"3";"1";"5";"3";"3";"4";"4";"4";"5";"5";"5";"4";"4";"4";"2";"4";"3";"2";"1";"4";"5";
"6534568592";"165793833";"2017-11-20 18:22:14";"2017-11-20 18:27:27";"152.204.167.15";"Login estudiante6526";"";"";"";"1";"Codest16280";"5";"5";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"7";"4";"5";"5";"5";"5";"5";"5";"3";"4";"5";"2";"4";"3";"2";"3";"5";"3";"5";"2";"2";"3";"3";"3";"1";"4";"3";"1";"5";"5";"5";"4";"4";"3";"3";"4";"5";
"6534557210";"165793833";"2017-11-20 18:15:28";"2017-11-20 18:15:45";"186.148.171.119";"Login estudiante12023";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6529036218";"165793833";"2017-11-17 16:08:15";"2017-11-17 16:15:07";"190.9.221.209";"Login estudiante8114";"";"";"";"1";"Codest16281";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"12";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";
"6526501081";"165793833";"2017-11-16 16:41:59";"2017-11-16 16:51:50";"190.147.213.166";"Login estudiante8095";"";"";"";"1";"Codest16282";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6523855258";"165793833";"2017-11-15 19:06:22";"2017-11-15 19:19:10";"181.54.233.226";"Login estudiante10568";"";"";"";"1";"Codest16283";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"14";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";
"6523367051";"165793833";"2017-11-15 15:39:35";"2017-11-15 15:48:45";"186.147.253.166";"Login estudiante13230";"";"";"";"1";"Codest16284";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"16";"4";"5";"4";"5";"5";"4";"5";"5";"5";"4";"5";"4";"5";"4";"5";"5";"4";"5";"3";"4";"3";"3";"4";"3";"4";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6523297172";"165793833";"2017-11-15 15:14:41";"2017-11-15 15:23:43";"201.221.122.2";"Login estudiante13232";"";"";"";"1";"Codest16285";"5";"5";"5";"5";"5";"2";"5";"5";"5";"5";"5";"5";"11";"4";"5";"3";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"3";"4";"5";"3";"5";"5";"5";"4";"4";"4";"3";"4";"5";
"6523276082";"165793833";"2017-11-15 15:07:22";"2017-11-15 15:22:26";"190.66.137.215";"Login estudiante10582";"";"";"";"1";"Codest16286";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"3";"4";"4";"4";"5";"3";"4";"4";"3";"5";"5";"5";"4";"4";"4";"4";"5";"5";
"6523081721";"165793833";"2017-11-15 13:59:20";"2017-11-15 14:13:18";"186.82.197.65";"Login estudiante13228";"";"";"";"1";"Codest16287";"4";"4";"4";"4";"2";"3";"1";"2";"2";"1";"1";"1";"19";"4";"1";"2";"1";"4";"4";"1";"1";"5";"4";"2";"1";"5";"3";"1";"5";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"2";"2";"4";"1";"1";"1";"1";"1";"5";
"6522957086";"165793833";"2017-11-15 13:15:27";"2017-11-15 13:19:52";"188.82.50.188";"Login estudiante8096";"";"";"";"1";"Codest16288";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"0";"6";"3";"4";"5";"5";"5";"4";"5";"4";"5";"4";"3";"5";"3";"5";"3";"5";"4";"5";"3";"3";"4";"4";"4";"2";"4";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6522783421";"165793833";"2017-11-15 12:15:57";"2017-11-15 12:15:57";"152.202.78.178";"Login estudiante10586";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6522744455";"165793833";"2017-11-15 12:03:04";"2017-11-15 12:17:27";"181.49.73.228";"Login estudiante6525";"";"";"";"1";"Codest16289";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"11";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"4";"4";"5";"4";"4";"2";"4";"2";"2";"2";"2";"4";"2";"2";"5";"5";"5";"4";"5";"4";"4";"5";"5";
