"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado(a) estudiante,El equipo de evaluaci�n de ConectaTE (Centro de Innovaci�n en Tecnolog�a y Educaci�n), por medio de esta encuesta, quiere conocer su percepci�n del curso de Historia del Dise�o que usted est� tomando este semestre.El objetivo es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga clic en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.coGracias por su colaboraci�n.";"CR_Por favor escriba su c�digo de estudiante.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �cu�ntas horas por semana�ha tenido�que dedicar a las actividades desarrolladas fuera de clase?";"O11_�C�mo considera la carga acad�mica del curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6552404258";"166038398";"2017-11-29 9:48:30";"2017-11-29 9:55:23";"186.83.196.205";"";"";"";"";"1";"Codest15937";"2";"2";"2";"2";"4";"4";"1";"1";"4";"2";"2";"2";"2";"5";"5";"4";"2";"2";"2";"1";"1";"4";"4";"2";"4";"1";"1";"2";"4";"2";"1";"1";"1";"3";"4";"4";"1";"1";"2";"5";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6551475961";"166038398";"2017-11-28 23:30:11";"2017-11-28 23:38:27";"186.154.28.107";"";"";"";"";"1";"Codest15928";"4";"4";"5";"5";"3";"5";"5";"5";"2";"2";"4";"4";"5";"5";"3";"4";"5";"5";"4";"4";"5";"5";"4";"4";"5";"3";"5";"4";"3";"5";"2";"2";"2";"5";"5";"5";"5";"5";"3";"5";"3";"5";"5";"5";"5";"5";"1";"1";"1";"1";"1";"3";
"6551345236";"165859743";"2017-11-28 21:51:54";"2017-11-28 22:06:50";"190.26.67.89";"Login estudiante13144";"";"";"";"1";"Codest15938";"1";"1";"4";"4";"3";"3";"2";"3";"4";"3";"3";"3";"3";"6";"5";"3";"3";"2";"3";"4";"1";"2";"3";"3";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"3";"2";"1";"1";"2";"5";"2";"4";"2";"2";"1";
"6551278340";"165859743";"2017-11-28 21:06:39";"2017-11-28 21:08:59";"186.80.246.85";"Login estudiante5958";"";"";"";"1";"Codest15939";"4";"3";"4";"5";"4";"4";"4";"4";"4";"4";"5";"3";"4";"3";"3";"4";"4";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"5";"4";"3";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";
"6551106967";"165859743";"2017-11-28 19:24:53";"2017-11-28 19:30:27";"181.61.182.87";"Login estudiante13128";"";"";"";"1";"Codest15940";"3";"3";"4";"4";"5";"4";"4";"3";"5";"4";"0";"0";"4";"5";"3";"3";"4";"3";"3";"3";"4";"4";"5";"5";"4";"4";"2";"4";"3";"5";"4";"5";"3";"4";"3";"4";"4";"5";"5";"5";"4";"3";"3";"5";"5";"5";"3";"3";"3";"3";"3";"4";
"6551044326";"165859743";"2017-11-28 18:50:24";"2017-11-28 18:58:52";"186.31.189.147";"Login estudiante13110";"";"";"";"1";"Codest15941";"4";"2";"3";"4";"3";"4";"4";"2";"4";"4";"3";"3";"4";"5";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"3";"2";"3";"3";"3";"3";"4";"4";"4";"3";"3";"3";"4";"3";"5";"5";"4";"4";"4";"4";"5";"5";"4";"4";"4";"3";"3";
"6550794687";"166038398";"2017-11-28 16:55:32";"2017-11-28 17:12:56";"186.84.40.83";"";"";"";"";"1";"Codest15942";"3";"1";"5";"3";"5";"4";"2";"1";"1";"1";"1";"1";"2";"11";"4";"3";"4";"3";"4";"5";"2";"4";"4";"4";"4";"2";"4";"4";"3";"5";"3";"3";"1";"4";"3";"3";"1";"1";"4";"4";"3";"3";"2";"4";"4";"4";"3";"2";"3";"3";"1";"4";
"6550794544";"166038398";"2017-11-28 16:55:31";"2017-11-28 17:02:29";"181.55.131.227";"";"";"";"";"1";"Codest15943";"2";"4";"4";"4";"5";"5";"4";"3";"4";"4";"0";"0";"4";"6";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"4";"4";"4";"1";"1";"1";"1";"1";"5";
"6550764419";"166038398";"2017-11-28 16:44:00";"2017-11-28 16:53:22";"157.253.226.101";"";"";"";"";"1";"Codest15944";"5";"4";"5";"5";"5";"5";"4";"2";"4";"5";"3";"3";"5";"7";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"3";"5";"5";"4";"4";"4";"5";"3";"4";"4";"5";"4";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6550715088";"166038398";"2017-11-28 16:25:44";"2017-11-28 16:36:56";"186.31.15.163";"";"";"";"";"1";"Codest15945";"2";"4";"5";"3";"4";"4";"3";"4";"4";"3";"4";"3";"5";"6";"4";"5";"4";"4";"3";"3";"2";"5";"4";"4";"3";"3";"2";"5";"5";"4";"5";"4";"4";"5";"2";"4";"3";"4";"3";"5";"3";"4";"3";"4";"4";"5";"2";"2";"2";"2";"3";"3";
"6548233744";"165859743";"2017-11-27 21:58:32";"2017-11-27 22:17:32";"186.28.51.202";"Login estudiante13112";"";"";"";"1";"Codest15946";"2";"3";"4";"4";"4";"2";"3";"2";"2";"3";"0";"0";"4";"5";"4";"4";"2";"4";"4";"5";"4";"5";"4";"4";"2";"4";"3";"5";"5";"4";"3";"5";"5";"3";"4";"3";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"2";"2";"2";"2";"2";"5";
"6547826235";"165859743";"2017-11-27 18:22:49";"2017-11-27 20:11:08";"186.144.119.179";"Login estudiante13125";"";"";"";"1";"Codest15947";"4";"4";"4";"4";"3";"2";"4";"4";"0";"0";"0";"0";"0";"5";"3";"4";"4";"4";"4";"4";"4";"5";"4";"3";"3";"2";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"3";"4";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"4";
"6546753436";"165859743";"2017-11-27 12:15:35";"2017-11-27 12:20:18";"181.58.46.10";"Login estudiante13117";"";"";"";"1";"Codest15948";"4";"4";"5";"5";"4";"4";"4";"2";"4";"4";"0";"0";"5";"6";"4";"4";"4";"4";"4";"4";"4";"5";"4";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"4";"5";"4";"4";"4";"5";"5";"5";"5";
"6544807832";"165859743";"2017-11-26 18:16:55";"2017-11-26 18:23:01";"186.147.152.100";"Login estudiante12627";"";"";"";"1";"Codest15936";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"5";"6";"3";"4";"4";"4";"4";"4";"4";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6544420789";"165859743";"2017-11-26 10:07:39";"2017-11-26 10:16:24";"186.85.91.221";"Login estudiante13154";"";"";"";"1";"Codest15949";"3";"3";"4";"3";"5";"4";"3";"2";"3";"3";"3";"3";"3";"5";"5";"2";"2";"4";"4";"4";"1";"5";"2";"3";"3";"2";"2";"3";"5";"2";"2";"4";"3";"5";"1";"2";"2";"1";"3";"4";"3";"3";"4";"4";"3";"3";"3";"2";"3";"3";"3";"4";
"6544327377";"165859743";"2017-11-26 7:50:28";"2017-11-26 7:56:39";"181.54.42.35";"Login estudiante13158";"";"";"";"1";"Codest15950";"3";"4";"4";"4";"3";"4";"3";"4";"4";"4";"4";"4";"4";"6";"4";"4";"3";"4";"4";"4";"4";"5";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6543942134";"165859743";"2017-11-25 18:44:07";"2017-11-25 19:00:30";"181.49.162.123";"Login estudiante13151";"";"";"";"1";"Codest15951";"3";"3";"4";"4";"3";"4";"3";"4";"2";"3";"3";"3";"4";"9";"4";"3";"3";"4";"4";"4";"4";"4";"4";"5";"4";"3";"4";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6543652160";"165859743";"2017-11-25 11:17:37";"2017-11-25 12:44:08";"186.28.195.22";"Login estudiante13146";"";"";"";"1";"Codest15952";"3";"3";"4";"4";"4";"4";"3";"2";"4";"4";"0";"0";"3";"6";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"5";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"4";
"6542917259";"165859743";"2017-11-24 16:08:05";"2017-11-24 16:17:40";"200.122.250.74";"Login estudiante13118";"";"";"";"1";"Codest15953";"1";"2";"3";"2";"4";"4";"3";"4";"0";"0";"0";"0";"2";"8";"3";"3";"4";"4";"4";"3";"2";"4";"3";"4";"2";"1";"3";"2";"2";"3";"2";"2";"3";"2";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6542875949";"165859743";"2017-11-24 15:28:17";"2017-11-24 15:29:10";"177.252.249.124";"Login estudiante13142";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6541240533";"165859743";"2017-11-23 14:52:59";"2017-11-23 15:20:32";"157.253.197.204";"Login estudiante13114";"";"";"";"1";"Codest15954";"1";"2";"2";"4";"5";"2";"4";"1";"4";"2";"1";"1";"1";"5";"3";"4";"2";"4";"3";"2";"4";"1";"4";"3";"5";"4";"3";"2";"5";"3";"4";"3";"2";"4";"5";"1";"5";"5";"5";"5";"5";"5";"5";"4";"4";"2";"2";"2";"2";"2";"1";"3";
"6535104652";"165859743";"2017-11-21 1:08:02";"2017-11-21 1:17:52";"186.29.82.253";"Login estudiante13108";"";"";"";"1";"Codest15955";"2";"2";"4";"3";"2";"4";"3";"4";"0";"0";"4";"4";"4";"5";"4";"4";"4";"4";"2";"4";"4";"4";"4";"3";"4";"4";"1";"3";"1";"4";"1";"1";"1";"4";"2";"2";"2";"4";"4";"4";"4";"4";"1";"4";"4";"4";"2";"4";"4";"2";"2";"3";
"6534968570";"165859743";"2017-11-20 22:59:24";"2017-11-20 23:16:25";"152.201.47.192";"Login estudiante13135";"";"";"";"1";"Codest15956";"5";"4";"4";"5";"5";"4";"4";"3";"4";"0";"0";"0";"5";"5";"4";"5";"4";"5";"3";"4";"4";"4";"4";"5";"5";"4";"3";"3";"4";"4";"2";"4";"4";"4";"4";"4";"3";"3";"4";"5";"5";"4";"3";"4";"4";"4";"3";"3";"3";"3";"4";"4";
"6533581826";"165859743";"2017-11-20 11:52:18";"2017-11-20 12:01:58";"191.154.66.129";"Login estudiante2958";"";"";"";"1";"Codest15957";"4";"4";"4";"5";"4";"4";"5";"3";"5";"5";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"4";"5";"4";"5";"5";"4";"5";"5";"3";"4";"5";"3";"4";"3";"4";"4";"4";"4";"5";"5";"4";"5";"5";"4";"4";"4";"4";"4";"5";"5";"5";"4";
"6533199291";"166038398";"2017-11-20 9:51:11";"2017-11-20 9:51:19";"186.154.23.41";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6532108835";"165859743";"2017-11-20 0:01:05";"2017-11-20 0:22:46";"186.82.9.235";"Login estudiante13105";"";"";"";"1";"Codest15958";"4";"3";"4";"4";"4";"3";"2";"3";"3";"3";"3";"3";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"5";"1";"4";"4";"4";"5";"4";"5";"3";"3";"3";"3";"3";"4";"4";"4";"4";"3";"4";"1";"1";"1";"1";"1";"1";"1";"4";
"6531988541";"165859743";"2017-11-19 22:28:48";"2017-11-19 22:28:59";"181.56.75.158";"Login estudiante13134";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6530553575";"165859743";"2017-11-18 22:57:50";"2017-11-18 23:02:46";"201.245.225.193";"Login estudiante13139";"";"";"";"1";"Codest15959";"4";"5";"5";"5";"5";"5";"5";"5";"2";"2";"2";"3";"5";"11";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"2";"4";"5";"4";"4";"4";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6529918132";"165859743";"2017-11-18 8:26:54";"2017-11-18 8:42:33";"181.56.43.243";"Login estudiante13153";"";"";"";"1";"Codest15960";"2";"3";"3";"5";"5";"5";"4";"3";"0";"0";"0";"0";"4";"5";"4";"5";"4";"4";"4";"4";"3";"4";"4";"4";"5";"3";"5";"4";"2";"3";"5";"4";"4";"4";"4";"5";"5";"3";"3";"5";"5";"5";"5";"4";"2";"4";"3";"3";"3";"3";"3";"4";
"6529173044";"165859743";"2017-11-17 17:14:26";"2017-11-17 17:22:09";"186.30.33.168";"Login estudiante2752";"";"";"";"1";"Codest15961";"3";"3";"3";"4";"5";"5";"2";"4";"2";"3";"2";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"2";"3";"3";"3";"4";
"6528128433";"165859743";"2017-11-17 10:13:16";"2017-11-17 10:24:36";"157.253.160.202";"Login estudiante10737";"";"";"";"1";"Codest15962";"3";"4";"4";"3";"4";"4";"4";"4";"4";"4";"0";"0";"3";"7";"5";"4";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"3";"3";"3";"4";"3";"4";"4";"2";"2";"3";"2";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";
"6527878342";"165859743";"2017-11-17 8:34:23";"2017-11-17 8:34:51";"181.234.202.255";"Login estudiante13120";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6527056001";"165859743";"2017-11-16 14:59:42";"2017-11-16 22:41:05";"186.155.83.27";"Login estudiante12651";"";"";"";"1";"Codest15963";"2";"2";"4";"4";"3";"4";"2";"3";"1";"2";"2";"2";"4";"7";"5";"3";"1";"2";"1";"2";"3";"4";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"1";"1";"4";"4";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";"2";"2";"2";"4";
"6526934624";"165859743";"2017-11-16 20:40:18";"2017-11-16 21:02:33";"186.81.111.206";"Login estudiante6406";"";"";"";"1";"Codest15964";"4";"5";"5";"3";"3";"4";"2";"2";"4";"4";"0";"0";"2";"5";"4";"4";"3";"4";"4";"4";"3";"1";"2";"4";"1";"5";"3";"2";"4";"4";"3";"3";"1";"4";"2";"3";"2";"1";"3";"4";"3";"1";"2";"5";"4";"3";"1";"1";"1";"1";"1";"3";
"6526553933";"165859743";"2017-11-16 17:03:51";"2017-11-16 17:09:17";"186.82.224.9";"Login estudiante13150";"";"";"";"1";"Codest15965";"5";"5";"5";"5";"5";"5";"5";"5";"0";"5";"0";"0";"5";"6";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"2";"4";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6526478251";"165859743";"2017-11-16 16:32:09";"2017-11-16 16:41:52";"177.252.249.226";"Login estudiante13113";"";"";"";"1";"Codest15966";"3";"4";"3";"3";"4";"3";"3";"2";"3";"3";"3";"3";"4";"3";"4";"4";"4";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"3";"1";"3";"4";"3";"3";"2";"1";"4";"3";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"4";
