"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado estudiante:
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso "Movimientos sociales y representaci�n pol�tica en Colombia y Am�rica Latina"�con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar, por favor marque �S� y luego haga clic en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co
Gracias por su colaboraci�n.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �cu�ntas horas por semana�ha tenido�que dedicar a las actividades desarrolladas fuera de clase?";"O11_�C�mo considera la carga acad�mica del curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6465843817";"163495638";"2017-10-20 14:11:49";"2017-10-20 14:35:46";"191.77.58.68";"Login estudiante6349";"";"";"";"1";"4";"4";"2";"5";"1";"1";"3";"4";"0";"0";"0";"4";"13";"5";"4";"4";"5";"3";"2";"4";"2";"1";"4";"4";"1";"3";"5";"4";"2";"1";"2";"4";"3";"5";"4";"2";"5";"5";"3";"4";"5";"4";"4";"5";"4";
"6465728554";"163495638";"2017-10-20 13:24:27";"2017-10-20 15:45:50";"157.253.106.135";"Login estudiante12619";"";"";"";"1";"3";"5";"5";"5";"5";"3";"5";"4";"4";"5";"4";"5";"13";"5";"5";"5";"5";"5";"5";"4";"5";"1";"5";"3";"4";"5";"5";"3";"3";"2";"2";"5";"5";"4";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6465698138";"163495638";"2017-10-20 13:13:17";"2017-10-20 15:11:02";"157.253.144.166";"Login estudiante4812";"";"";"";"1";"4";"3";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6465458305";"163495638";"2017-10-20 11:45:29";"2017-10-20 11:48:58";"157.253.133.132";"Login estudiante12611";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"6";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6462714741";"163495638";"2017-10-19 10:58:17";"2017-10-25 13:08:00";"181.57.246.1";"Login estudiante12615";"";"";"";"1";"4";"3";"3";"4";"2";"3";"4";"5";"5";"0";"0";"4";"6";"4";"4";"3";"4";"4";"3";"3";"3";"3";"3";"3";"4";"5";"5";"5";"4";"4";"2";"5";"4";"3";"4";"5";"4";"4";"4";"4";"4";"5";"5";"5";"5";
"6461627810";"163495638";"2017-10-19 0:03:05";"2017-10-19 0:14:56";"200.118.99.195";"Login estudiante12603";"";"";"";"1";"4";"3";"4";"4";"2";"2";"2";"3";"4";"0";"0";"3";"11";"5";"3";"5";"5";"4";"4";"3";"4";"2";"4";"1";"1";"4";"5";"3";"4";"4";"4";"5";"5";"5";"5";"5";"4";"3";"4";"3";"3";"2";"2";"4";"5";
"6459526203";"163495638";"2017-10-18 8:10:36";"2017-10-18 8:28:48";"157.253.197.197";"Login estudiante3777";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6458077159";"163495638";"2017-10-17 16:21:17";"2017-10-17 16:22:20";"190.24.59.53";"Login estudiante12607";"";"";"";"1";"4";"4";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6457548606";"163495638";"2017-10-17 13:02:17";"2017-10-20 15:44:09";"157.253.176.78";"Login estudiante3792";"";"";"";"1";"4";"4";"4";"5";"3";"2";"5";"0";"5";"0";"0";"5";"6";"5";"5";"5";"4";"4";"4";"5";"4";"4";"4";"2";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"4";"4";"5";
"6457217700";"163495638";"2017-10-17 11:09:48";"2017-10-17 11:28:03";"157.253.223.113";"Login estudiante4864";"";"";"";"1";"4";"4";"4";"4";"2";"3";"4";"4";"4";"0";"0";"3";"6";"3";"3";"3";"3";"4";"4";"3";"3";"2";"4";"2";"4";"2";"4";"3";"4";"2";"2";"3";"4";"4";"2";"2";"4";"4";"4";"4";"4";"4";"4";"5";"5";
"6457091450";"163495638";"2017-10-17 10:17:05";"2017-10-27 12:24:48";"157.253.132.70";"Login estudiante12601";"";"";"";"1";"1";"1";"1";"4";"2";"2";"5";"4";"4";"4";"4";"3";"10";"4";"4";"4";"4";"4";"3";"4";"3";"4";"5";"4";"2";"5";"5";"3";"3";"3";"3";"3";"2";"3";"4";"3";"4";"4";"3";"4";"4";"4";"4";"3";"5";
"6456976681";"163495638";"2017-10-17 9:34:23";"2017-10-20 14:18:42";"200.122.250.74";"Login estudiante12596";"";"";"";"1";"4";"4";"4";"5";"4";"3";"3";"5";"5";"0";"0";"4";"7";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6455237307";"163495638";"2017-10-16 16:37:19";"2017-10-16 16:50:01";"181.59.246.159";"Login estudiante12621";"";"";"";"1";"4";"5";"5";"4";"3";"4";"4";"5";"5";"5";"5";"5";"7";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"4";"4";"4";"4";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6449755746";"163495638";"2017-10-13 12:23:08";"2017-10-19 13:18:30";"157.253.197.115";"Login estudiante5072";"";"";"";"1";"2";"2";"4";"2";"1";"1";"4";"4";"4";"4";"4";"3";"16";"5";"2";"1";"4";"4";"4";"4";"2";"1";"4";"1";"5";"5";"5";"4";"1";"4";"4";"3";"4";"4";"4";"4";"5";"5";"5";"2";"3";"3";"2";"3";"5";
"6449608467";"163495638";"2017-10-13 11:22:12";"2017-10-13 11:27:36";"157.253.122.176";"Login estudiante12608";"";"";"";"1";"4";"4";"4";"5";"4";"4";"4";"5";"5";"5";"5";"4";"5";"3";"4";"4";"4";"4";"4";"3";"3";"5";"4";"4";"4";"4";"5";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6448466420";"163495638";"2017-10-12 22:06:01";"2017-10-12 22:14:31";"190.156.122.68";"Login estudiante2980";"";"";"";"1";"4";"4";"2";"5";"3";"2";"5";"0";"0";"0";"0";"4";"7";"3";"4";"5";"5";"5";"5";"4";"3";"4";"5";"4";"4";"4";"4";"3";"5";"2";"2";"5";"5";"5";"4";"3";"5";"5";"5";"5";"4";"5";"5";"5";"5";
"6448448659";"163495638";"2017-10-12 21:50:53";"2017-10-12 21:56:30";"186.84.155.49";"Login estudiante12605";"";"";"";"1";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"8";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6448400675";"163495638";"2017-10-12 21:12:39";"2017-10-12 21:17:58";"190.130.109.196";"Login estudiante12606";"";"";"";"1";"2";"4";"3";"5";"4";"2";"4";"2";"2";"4";"2";"4";"5";"5";"4";"4";"4";"4";"4";"5";"2";"2";"4";"2";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"3";"3";"4";"3";"4";"5";
"6448390327";"163495638";"2017-10-12 21:04:29";"2017-10-12 21:17:40";"200.122.250.74";"Login estudiante12612";"";"";"";"1";"3";"2";"4";"4";"2";"2";"4";"5";"5";"0";"0";"4";"6";"4";"4";"4";"5";"4";"4";"4";"4";"4";"5";"3";"3";"4";"5";"3";"4";"2";"2";"2";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";
"6448322545";"163495638";"2017-10-12 20:12:30";"2017-10-12 20:45:08";"190.25.87.1";"Login estudiante12610";"";"";"";"1";"4";"4";"4";"5";"5";"3";"4";"4";"4";"4";"4";"4";"8";"4";"4";"4";"4";"4";"4";"4";"4";"2";"3";"2";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"5";
"6448307193";"163495638";"2017-10-12 20:00:44";"2017-10-12 20:21:29";"157.253.214.81";"Login estudiante12604";"";"";"";"1";"3";"3";"3";"4";"2";"3";"4";"5";"5";"0";"0";"4";"9";"4";"3";"2";"4";"4";"4";"3";"3";"2";"5";"2";"4";"5";"4";"3";"3";"4";"3";"3";"3";"3";"3";"2";"4";"2";"2";"2";"3";"2";"2";"2";"4";
