respondent_id;collector_id;date_created;date_modified;ip_address;email_address;first_name;last_name;custom_1;Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:;;;Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:;;;;Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados. Marque NO APLICA (N/A) en los caso que considere necesario.;;;;;O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?;O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?;Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:;;;;;;Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:;A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.;;;;Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:;;;;;;;;;Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:;;;;;;;;Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.
6371793385;160544450;2017-09-02;02/09/2017 7:12;137.120.108.186;Login estudiante16588;;;;4;4;4;5;4;2;4;5;5;0;0;4;9;5;4;4;4;4;4;5;4;4;3;4;3;4;4;4;5;5;5;5;5;5;4;4;4;4;2;3;4;4;4
6371372097;160544450;2017-09-01;01/09/2017 19:08;181.57.241.21;Login estudiante8562;;;;5;5;5;5;5;3;2;5;5;5;4;4;4;4;4;4;3;4;4;4;4;5;3;5;2;5;4;5;5;5;5;5;2;4;5;5;2;2;3;3;2;3;4
6370809805;160544450;2017-09-01;01/09/2017 12:42;70.196.128.167;Login estudiante16589;;;;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6370726622;160544450;2017-09-01;01/09/2017 12:06;157.253.250.169;Login estudiante12347;;;;5;5;5;5;5;3;3;4;4;4;4;4;11;5;4;3;3;4;4;2;4;4;5;5;3;4;3;4;4;3;4;3;4;4;2;2;2;3;1;1;1;3;4
6370664573;160544450;2017-09-01;01/09/2017 11:35;190.25.48.178;Login estudiante2706;;;;4;4;5;5;1;1;1;1;1;1;1;1;9;4;5;1;4;1;1;1;1;4;4;4;2;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1
6368502122;160544450;2017-08-31;31/08/2017 12:12;157.253.157.109;Login estudiante12381;;;;5;5;5;4;5;5;5;4;4;5;5;5;6;5;4;2;4;4;4;4;4;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;2;3;3;3;3;3;5
6367885034;160544450;2017-08-30;30/08/2017 23:30;186.80.50.227;Login estudiante12378;;;;3;4;4;4;2;1;3;0;4;0;0;0;7;5;2;2;4;3;3;4;2;4;1;5;1;4;3;1;2;5;4;4;4;2;1;1;1;1;1;1;1;1;3
6367382516;160544450;2017-08-30;30/08/2017 17:01;152.201.216.184;Login estudiante16590;;;;5;5;5;5;3;2;3;2;3;3;3;3;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6366961881;160544450;2017-08-30;30/08/2017 13:44;152.202.30.2;Login estudiante16591;;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6366755252;160544450;2017-08-30;30/08/2017 12:18;157.253.193.125;Login estudiante7169;;;;1;1;1;1;1;1;1;1;1;1;1;1;9;4;1;1;1;1;1;1;1;5;4;3;4;4;4;5;4;4;5;4;4;5;4;3;2;4;3;5;4;5;4
6366740521;160544450;2017-08-30;30/08/2017 12:11;157.253.186.146;Login estudiante16592;;;;2;5;4;4;4;3;3;3;2;4;2;4;9;5;4;5;2;4;5;2;2;5;2;1;5;3;4;5;3;5;5;2;3;4;2;2;3;1;3;2;1;2;1
6366570699;160544450;2017-08-30;30/08/2017 10:57;181.48.208.66;Login estudiante15890;;;;5;5;5;5;4;5;4;5;4;0;0;5;7;4;5;4;5;4;5;5;5;5;4;5;3;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5
6366560016;160544450;2017-08-30;30/08/2017 10:52;157.253.154.44;Login estudiante15905;;;;3;4;4;4;4;4;4;4;4;0;0;0;5;5;3;4;4;4;4;3;4;4;2;2;3;4;3;3;3;4;4;3;4;5;4;4;3;2;3;3;3;3;3
6366541054;160544450;2017-08-30;30/08/2017 10:45;186.29.201.27;Login estudiante12236;;;;3;4;3;4;4;4;4;4;4;4;4;0;3;4;3;4;5;5;3;4;5;5;4;4;3;4;3;3;3;5;4;2;4;4;3;4;4;3;3;4;4;4;5
6366504113;160544450;2017-08-30;30/08/2017 10:25;190.9.206.238;Login estudiante12319;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6366483487;160544450;2017-08-30;30/08/2017 10:22;177.252.253.62;Login estudiante12374;;;;4;4;4;4;4;1;5;5;5;5;4;3;12;5;4;4;4;4;4;4;2;5;1;5;3;3;5;2;4;4;4;3;4;1;4;2;1;1;1;1;1;1;2
6366455267;160544450;2017-08-30;30/08/2017 10:08;157.253.165.106;Login estudiante16593;;;;4;3;4;4;5;2;4;4;4;4;4;4;8;4;4;4;2;4;1;4;3;4;4;2;4;5;5;5;3;5;3;1;4;5;5;5;1;1;2;2;2;1;5
