"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado estudiante,El equipo de evaluaci�n de ConectaTE (Centro de Innovaci�n en Tecnolog�a y Educaci�n), por medio de esta encuesta, quiere conocer su percepci�n del curso de Comunicaci�n y Tecnolog�a en el Tiempo que usted est� tomando este semestre.El objetivo es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga clic en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.coGracias por su colaboraci�n.";"CR_Por favor escriba su c�digo de estudiante.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �cu�ntas horas por semana�ha tenido�que dedicar a las actividades desarrolladas fuera de clase?";"O11_�C�mo considera la carga acad�mica del curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6547772040";"165524943";"2017-11-27 16:59:16";"2017-11-27 17:01:46";"190.25.123.153";"Login estudiante14133";"";"";"";"1";"Codest16095";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"4";
"6544352861";"165524943";"2017-11-26 7:29:41";"2017-11-26 7:38:36";"186.148.163.218";"Login estudiante10826";"";"";"";"1";"Codest16096";"5";"5";"4";"5";"5";"5";"3";"5";"5";"3";"3";"5";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"4";"5";"5";"4";"5";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"4";"5";
"6544049267";"165524943";"2017-11-25 21:35:44";"2017-11-25 21:45:50";"181.144.95.45";"Login estudiante13689";"";"";"";"1";"Codest16097";"5";"5";"5";"5";"5";"4";"4";"0";"0";"0";"0";"0";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6543516221";"165524943";"2017-11-25 7:23:23";"2017-11-25 7:28:31";"152.201.17.155";"Login estudiante13730";"";"";"";"1";"Codest16098";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6543160393";"165524943";"2017-11-24 20:08:45";"2017-11-24 20:10:32";"157.253.38.193";"Login estudiante15057";"";"";"";"1";"Codest16099";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"1";"5";"5";"5";"5";"5";"5";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"";"";"";"";"";"";"";"";"";
"6542921244";"165524943";"2017-11-24 15:11:31";"2017-11-24 15:12:29";"157.253.196.145";"Login estudiante11010";"";"";"";"1";"Codest16100";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6542909456";"165524943";"2017-11-24 15:00:20";"2017-11-24 15:01:27";"186.85.15.18";"Login estudiante15066";"";"";"";"1";"Codest16101";"5";"2";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6542893125";"165524943";"2017-11-24 14:44:51";"2017-11-24 15:09:12";"152.202.81.246";"Login estudiante11311";"";"";"";"1";"Codest16102";"4";"3";"3";"4";"3";"3";"3";"3";"3";"0";"0";"3";"1";"3";"4";"2";"3";"4";"4";"4";"3";"3";"3";"2";"4";"5";"4";"3";"3";"2";"2";"4";"4";"3";"3";"3";"4";"4";"4";"4";"4";"4";"4";"2";"3";
"6542891173";"165524943";"2017-11-24 14:43:03";"2017-11-24 14:48:32";"157.253.146.238";"Login estudiante15052";"";"";"";"1";"Codest16103";"3";"4";"2";"4";"1";"3";"3";"0";"0";"0";"0";"0";"3";"2";"3";"4";"3";"4";"1";"4";"2";"2";"5";"3";"3";"3";"5";"2";"1";"3";"4";"3";"4";"4";"4";"4";"2";"1";"3";"4";"4";"5";"5";"3";"5";
"6542876398";"165524943";"2017-11-24 14:29:11";"2017-11-24 14:32:12";"181.152.12.184";"Login estudiante8621";"";"";"";"1";"Codest16104";"3";"5";"5";"5";"5";"5";"5";"0";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";
"6542874850";"165524943";"2017-11-24 14:27:54";"2017-11-24 14:31:07";"157.253.251.69";"Login estudiante7311";"";"";"";"1";"Codest16105";"5";"5";"5";"5";"5";"5";"5";"0";"0";"4";"0";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6531334465";"165524943";"2017-11-19 12:25:10";"2017-11-19 12:32:23";"190.24.186.26";"Login estudiante9026";"";"";"";"1";"Codest16106";"5";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";
"6531197286";"165524943";"2017-11-19 10:22:48";"2017-11-19 10:26:02";"190.158.65.65";"Login estudiante7038";"";"";"";"1";"Codest16107";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"3";"2";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6531034113";"165524943";"2017-11-19 8:01:20";"2017-11-19 8:10:57";"190.157.122.130";"Login estudiante11285";"";"";"";"1";"Codest16108";"5";"5";"4";"5";"5";"5";"4";"5";"0";"0";"0";"0";"3";"3";"5";"5";"5";"5";"5";"5";"4";"3";"5";"3";"4";"2";"4";"3";"3";"3";"2";"4";"4";"4";"4";"4";"3";"2";"5";"5";"5";"3";"3";"4";"5";
"6530050320";"165524943";"2017-11-18 9:49:56";"2017-11-18 10:28:17";"186.154.184.93";"Login estudiante7007";"";"";"";"1";"Codest16109";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"0";"6";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6529619949";"165524943";"2017-11-17 23:32:02";"2017-11-17 23:39:05";"181.61.245.17";"Login estudiante15073";"";"";"";"1";"Codest16110";"4";"3";"4";"3";"4";"4";"2";"0";"0";"0";"0";"0";"2";"3";"4";"4";"3";"3";"4";"3";"3";"4";"3";"4";"5";"4";"5";"5";"4";"3";"3";"3";"3";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";
"6529483584";"165524943";"2017-11-17 20:21:17";"2017-11-17 20:24:49";"179.18.51.235";"Login estudiante14534";"";"";"";"1";"Codest16111";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"2";"5";"4";"4";"2";
"6529150378";"165524943";"2017-11-17 16:02:49";"2017-11-17 16:07:31";"186.31.58.143";"Login estudiante7372";"";"";"";"1";"Codest16112";"5";"4";"4";"5";"5";"4";"5";"4";"4";"4";"4";"0";"3";"3";"5";"5";"5";"4";"4";"5";"4";"5";"4";"5";"4";"3";"5";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"4";"5";
"6528497551";"165524943";"2017-11-17 11:24:17";"2017-11-17 11:30:49";"157.253.202.28";"Login estudiante12686";"";"";"";"1";"Codest16113";"4";"4";"5";"5";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"3";"5";"2";"4";"2";"1";"4";"4";"2";"3";"1";"4";"4";"3";"4";"4";"5";"5";"5";"5";"3";"3";"3";"3";"3";"3";"3";"3";"4";
"6523998415";"165524943";"2017-11-15 19:29:13";"2017-11-15 19:37:42";"186.83.104.77";"Login estudiante9368";"";"";"";"1";"Codest16114";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"5";"3";"1";"1";"1";"1";"1";"1";"1";"1";"5";"3";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6523710358";"165524943";"2017-11-15 16:51:47";"2017-11-15 16:55:27";"157.253.208.238";"Login estudiante4047";"";"";"";"1";"Codest16115";"5";"5";"5";"5";"5";"5";"5";"2";"2";"2";"2";"2";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6521909252";"165524943";"2017-11-15 6:29:55";"2017-11-15 6:33:09";"181.56.170.18";"Login estudiante15058";"";"";"";"1";"Codest16116";"4";"5";"4";"4";"4";"4";"3";"0";"0";"0";"0";"0";"3";"3";"4";"3";"3";"4";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6520852406";"165524943";"2017-11-14 20:13:54";"2017-11-14 20:20:08";"201.245.208.51";"Login estudiante15070";"";"";"";"1";"Codest16117";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6520730579";"165524943";"2017-11-14 19:13:23";"2017-11-14 19:33:11";"181.57.247.145";"Login estudiante5063";"";"";"";"1";"Codest16118";"4";"4";"3";"3";"4";"3";"3";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"3";"3";"3";"5";"3";"5";"3";"4";"5";"4";"3";"4";"4";"4";"4";"4";"3";"5";"4";"4";"3";"3";"3";"2";"3";"3";"3";"5";
"6520317507";"165524943";"2017-11-14 16:33:08";"2017-11-14 16:42:54";"190.157.123.52";"Login estudiante8039";"";"";"";"1";"Codest16119";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"5";"5";"5";"4";"5";
"6520121750";"165524943";"2017-11-14 15:43:13";"2017-11-14 15:48:41";"186.84.51.41";"Login estudiante4045";"";"";"";"1";"Codest16120";"5";"5";"5";"5";"5";"4";"3";"0";"0";"0";"0";"0";"3";"4";"5";"5";"5";"5";"5";"4";"4";"4";"5";"3";"4";"4";"2";"2";"2";"3";"3";"4";"4";"2";"4";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";
"6520094666";"165524943";"2017-11-14 15:36:04";"2017-11-14 15:44:08";"186.155.18.174";"Login estudiante4833";"";"";"";"1";"Codest16121";"5";"5";"5";"5";"5";"4";"3";"4";"5";"4";"4";"5";"3";"2";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"4";"5";"5";"4";"3";"4";"4";"5";"5";"5";"5";"5";"4";"4";"5";"5";"4";"5";"3";"3";"5";
"6520073279";"165524943";"2017-11-14 15:31:01";"2017-11-14 15:35:40";"191.152.77.45";"Login estudiante15054";"";"";"";"1";"Codest16122";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6519973736";"165524943";"2017-11-14 15:05:09";"2017-11-14 15:12:19";"186.29.253.114";"Login estudiante7639";"";"";"";"1";"Codest16123";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"2";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6519934245";"165524943";"2017-11-14 14:54:07";"2017-11-14 14:58:39";"157.253.149.66";"Login estudiante7313";"";"";"";"1";"Codest16003";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6519612188";"165524943";"2017-11-14 13:22:34";"2017-11-14 13:23:24";"157.253.197.148";"Login estudiante8066";"";"";"";"1";"Codest16124";"4";"3";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6519595584";"165524943";"2017-11-14 13:17:49";"2017-11-14 13:22:17";"157.253.128.47";"Login estudiante15069";"";"";"";"1";"Codest16125";"5";"5";"5";"5";"5";"5";"3";"5";"5";"2";"2";"0";"3";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6519593731";"165524943";"2017-11-14 13:17:18";"2017-11-14 13:25:20";"179.18.42.127";"Login estudiante6901";"";"";"";"1";"Codest16126";"5";"5";"5";"5";"5";"5";"5";"4";"0";"0";"0";"0";"2";"3";"4";"5";"5";"5";"4";"5";"4";"5";"5";"3";"4";"4";"3";"4";"4";"4";"5";"5";"4";"2";"4";"3";"5";"4";"5";"3";"4";"2";"2";"4";"5";
"6519591892";"165524943";"2017-11-14 13:16:58";"2017-11-14 13:19:46";"157.253.207.207";"Login estudiante6556";"";"";"";"1";"Codest16127";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"2";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
