"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique el profesor(a) a cargo de su secci�n";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6353292659";"160535088";"2017-08-22 14:44:40";"2017-08-22 14:47:29";"200.13.246.146";"Login estudiante16616";"";"";"";"1";"4";"5";"5";"4";"5";"5";"2";"5";"5";"5";"5";"2";"3";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6351271222";"160535088";"2017-08-21 14:02:09";"2017-08-21 14:11:34";"190.84.55.90";"Login estudiante16617";"";"";"";"2";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"3";"3";"3";"4";"4";"5";"5";"5";"4";"3";"4";"5";"2";"5";"5";"5";"4";"4";"4";"3";"4";"5";"3";"2";"3";"4";"4";"5";"4";"4";"4";"4";"4";"5";
"6349767479";"160535088";"2017-08-20 11:07:10";"2017-08-20 11:11:00";"186.82.132.150";"Login estudiante16618";"";"";"";"1";"3";"3";"4";"5";"4";"4";"4";"4";"4";"0";"0";"0";"3";"3";"3";"3";"4";"5";"5";"5";"4";"4";"4";"5";"3";"4";"5";"4";"5";"5";"3";"4";"5";"5";"4";"2";"5";"5";"4";"5";"5";"5";"5";"4";"5";
"6348568364";"160535088";"2017-08-18 20:04:51";"2017-08-18 20:15:40";"181.155.15.218";"Login estudiante10355";"";"";"";"1";"4";"4";"4";"5";"4";"5";"3";"4";"4";"4";"4";"3";"6";"4";"4";"4";"5";"4";"4";"5";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"5";
"6347845498";"160535088";"2017-08-18 11:39:50";"2017-08-18 11:42:39";"157.253.186.176";"Login estudiante16619";"";"";"";"1";"3";"3";"3";"5";"4";"4";"4";"0";"5";"4";"3";"3";"5";"3";"3";"5";"5";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"3";"4";"4";"4";"3";"4";"4";"4";"3";"4";"3";"4";"4";"4";"3";"4";
"6347451789";"160535088";"2017-08-18 7:52:29";"2017-08-18 7:57:49";"167.0.130.185";"Login estudiante12359";"";"";"";"1";"4";"5";"4";"4";"5";"5";"3";"5";"4";"0";"0";"0";"4";"2";"1";"4";"5";"5";"4";"4";"4";"3";"5";"4";"3";"4";"5";"2";"4";"2";"1";"4";"3";"2";"2";"2";"5";"2";"4";"5";"4";"5";"5";"4";"3";
"6346963218";"160535088";"2017-08-17 22:31:42";"2017-08-17 22:42:46";"200.119.62.52";"Login estudiante15893";"";"";"";"1";"4";"4";"3";"4";"3";"3";"5";"4";"4";"0";"0";"0";"8";"4";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"2";"4";"5";"4";"4";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"3";"3";"3";
"6346776230";"160535088";"2017-08-17 19:41:40";"2017-08-17 19:49:02";"201.244.193.20";"Login estudiante16621";"";"";"";"1";"3";"4";"4";"2";"3";"2";"4";"0";"0";"0";"0";"0";"7";"3";"4";"3";"3";"3";"2";"2";"3";"5";"5";"5";"2";"3";"4";"4";"5";"4";"2";"5";"5";"4";"3";"5";"5";"5";"4";"4";"2";"3";"3";"5";"4";
"6346174210";"160535088";"2017-08-17 13:31:48";"2017-08-17 13:37:26";"157.253.38.88";"Login estudiante16592";"";"";"";"2";"5";"4";"2";"5";"4";"4";"5";"4";"5";"5";"5";"4";"13";"4";"4";"4";"3";"4";"3";"3";"4";"4";"5";"4";"4";"5";"4";"5";"4";"3";"5";"4";"5";"4";"5";"4";"4";"5";"3";"3";"2";"4";"4";"3";"4";
"6346112518";"160535088";"2017-08-17 12:58:47";"2017-08-17 13:07:28";"191.102.210.126";"Login estudiante16622";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"9";"3";"5";"5";"4";"5";"5";"5";"4";"5";"5";"5";"3";"5";"5";"4";"4";"4";"3";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6346047254";"160535088";"2017-08-17 12:23:10";"2017-08-17 12:27:00";"157.253.164.160";"Login estudiante12384";"";"";"";"2";"5";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"0";"4";"3";"4";"4";"5";"5";"5";"4";"4";"3";"5";"4";"3";"4";"4";"4";"3";"5";"3";"5";"4";"4";"5";"4";"4";"4";"4";"5";"4";"4";"5";"5";"5";
"6346047132";"160535088";"2017-08-17 12:20:50";"2017-08-18 19:15:55";"157.253.211.229";"Login estudiante7100";"";"";"";"2";"4";"4";"4";"4";"4";"4";"3";"4";"5";"3";"3";"3";"6";"3";"3";"4";"4";"4";"3";"5";"4";"5";"5";"5";"5";"4";"4";"3";"4";"2";"3";"3";"2";"3";"4";"2";"5";"5";"4";"3";"4";"4";"2";"2";"4";
"6345930463";"160535088";"2017-08-17 11:22:30";"2017-08-17 11:41:01";"157.253.245.244";"Login estudiante16623";"";"";"";"1";"3";"5";"4";"5";"5";"4";"3";"4";"4";"4";"4";"1";"6";"4";"3";"5";"5";"5";"3";"5";"5";"5";"5";"5";"4";"5";"5";"4";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"3";"3";"4";"5";
"6345922018";"160535088";"2017-08-17 11:08:57";"2017-08-17 11:49:51";"157.253.146.204";"Login estudiante13079";"";"";"";"2";"5";"5";"5";"5";"5";"5";"5";"0";"0";"3";"3";"3";"6";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6345906748";"160535088";"2017-08-17 11:11:32";"2017-08-17 11:17:09";"181.152.17.175";"Login estudiante12245";"";"";"";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"0";"6";"3";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6345848087";"160535088";"2017-08-17 10:43:43";"2017-08-17 10:43:58";"157.253.157.65";"Login estudiante10359";"";"";"";"2";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6345835244";"160535088";"2017-08-17 10:37:06";"2017-08-17 10:39:30";"157.253.145.88";"Login estudiante16624";"";"";"";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6345823877";"160535088";"2017-08-17 10:26:32";"2017-08-17 10:46:04";"181.241.32.149";"Login estudiante16625";"";"";"";"1";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"4";"3";"3";"3";"3";"4";"5";"5";"5";"4";"4";"3";"4";"4";"3";"4";"5";"4";"4";"3";"3";"5";"3";"2";"4";"4";"4";"4";"4";"3";"1";"3";"3";"4";"4";
"6345791885";"160535088";"2017-08-17 10:15:42";"2017-08-17 10:20:19";"190.217.61.106";"Login estudiante16626";"";"";"";"1";"5";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"3";"5";"4";"4";"4";"4";"4";"5";"5";"4";"5";"5";"3";"4";"3";"3";"4";"3";"5";"5";"3";"5";"4";"5";"5";"2";"3";"3";"3";"3";"4";"5";
"6345789624";"160535088";"2017-08-17 10:14:39";"2017-08-17 10:17:45";"157.253.254.208";"Login estudiante12234";"";"";"";"1";"4";"3";"4";"5";"5";"5";"3";"5";"5";"0";"0";"0";"3";"3";"3";"5";"4";"4";"4";"5";"5";"4";"3";"4";"3";"5";"4";"1";"4";"3";"3";"4";"3";"4";"3";"5";"";"";"";"";"";"";"";"";"";
"6345573093";"160535088";"2017-08-17 8:11:42";"2017-08-17 8:19:54";"186.84.3.254";"Login estudiante2706";"";"";"";"1";"4";"4";"5";"4";"5";"5";"4";"5";"5";"0";"0";"0";"6";"3";"4";"5";"5";"4";"3";"5";"5";"4";"5";"3";"5";"5";"5";"2";"1";"4";"1";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";
"6345077241";"160535088";"2017-08-16 23:20:39";"2017-08-16 23:21:14";"190.25.39.220";"Login estudiante3201";"";"";"";"2";"4";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344979682";"160535088";"2017-08-16 21:44:54";"2017-08-16 21:47:59";"181.56.225.47";"Login estudiante16627";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"11";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6344975145";"160535088";"2017-08-16 21:40:58";"2017-08-16 21:44:37";"186.29.111.93";"Login estudiante16628";"";"";"";"1";"4";"4";"4";"4";"4";"4";"3";"5";"5";"0";"0";"0";"3";"3";"3";"4";"4";"4";"4";"4";"4";"3";"5";"4";"5";"3";"4";"4";"4";"4";"3";"5";"5";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6344899364";"160535088";"2017-08-16 20:35:30";"2017-08-16 20:42:22";"181.60.241.251";"Login estudiante16629";"";"";"";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"3";"4";"4";"3";"4";"3";"3";"4";"3";"5";"5";"5";"4";"4";"3";"4";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"2";"3";"4";
"6344800600";"160535088";"2017-08-16 19:18:22";"2017-08-16 19:19:40";"174.192.30.142";"Login estudiante16630";"";"";"";"2";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344688426";"160535088";"2017-08-16 18:03:16";"2017-08-16 18:10:38";"181.61.15.129";"Login estudiante12187";"";"";"";"2";"4";"4";"4";"5";"5";"4";"5";"0";"0";"0";"0";"0";"6";"3";"4";"4";"4";"5";"4";"4";"4";"4";"4";"5";"3";"5";"5";"3";"2";"2";"2";"4";"3";"2";"5";"3";"4";"4";"5";"3";"3";"4";"4";"4";"5";
"6344682048";"160535088";"2017-08-16 17:59:23";"2017-08-16 18:03:39";"179.18.41.205";"Login estudiante16631";"";"";"";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"0";"0";"0";"7";"3";"2";"2";"2";"2";"2";"2";"1";"5";"5";"5";"5";"5";"5";"1";"2";"2";"1";"1";"1";"3";"3";"1";"4";"4";"5";"4";"4";"5";"5";"5";"5";
"6344679356";"160535088";"2017-08-16 17:48:46";"2017-08-16 17:57:58";"157.253.162.59";"Login estudiante12367";"";"";"";"1";"4";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344649057";"160535088";"2017-08-16 17:35:36";"2017-08-16 17:38:46";"186.85.94.131";"Login estudiante11268";"";"";"";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"5";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344581340";"160535088";"2017-08-16 16:18:35";"2017-08-16 17:00:42";"181.61.207.138";"Login estudiante13074";"";"";"";"1";"5";"5";"5";"5";"5";"5";"3";"5";"5";"3";"3";"2";"7";"3";"4";"4";"5";"5";"5";"4";"4";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"4";"5";"4";"4";"3";"4";"4";
"6344574911";"160535088";"2017-08-16 16:52:53";"2017-08-16 16:53:23";"190.24.40.98";"Login estudiante12332";"";"";"";"1";"3";"4";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344553320";"160535088";"2017-08-16 16:40:28";"2017-08-16 16:42:05";"157.253.217.113";"Login estudiante5893";"";"";"";"1";"4";"3";"4";"4";"4";"3";"4";"4";"3";"3";"3";"3";"9";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344548297";"160535088";"2017-08-16 16:37:31";"2017-08-16 16:38:06";"157.253.165.236";"Login estudiante10424";"";"";"";"2";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344529373";"160535088";"2017-08-16 16:26:57";"2017-08-16 16:27:20";"186.84.198.40";"Login estudiante12348";"";"";"";"1";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344522228";"160535088";"2017-08-16 16:22:24";"2017-08-16 16:27:12";"157.253.251.155";"Login estudiante12341";"";"";"";"1";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"4";"6";"3";"4";"4";"4";"4";"4";"4";"3";"4";"5";"5";"4";"5";"5";"3";"4";"4";"4";"5";"3";"3";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6344522194";"160535088";"2017-08-16 16:22:57";"2017-08-16 16:29:34";"157.253.170.126";"Login estudiante16632";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"7";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"4";"5";"1";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"5";"5";
"6344520732";"160535088";"2017-08-16 16:22:15";"2017-08-16 16:22:41";"186.29.38.179";"Login estudiante16633";"";"";"";"2";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344507272";"160535088";"2017-08-16 16:14:42";"2017-08-16 16:19:49";"181.143.182.90";"Login estudiante12358";"";"";"";"2";"5";"5";"4";"5";"3";"4";"5";"5";"5";"5";"5";"5";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"4";"3";"5";"5";"4";"5";"5";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"5";
"6344498463";"160535088";"2017-08-16 16:09:31";"2017-08-16 16:11:52";"157.253.155.34";"Login estudiante16634";"";"";"";"1";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344497993";"160535088";"2017-08-16 16:09:13";"2017-08-16 16:10:04";"186.80.86.52";"Login estudiante3963";"";"";"";"2";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344491685";"160535088";"2017-08-16 16:05:42";"2017-08-16 16:08:15";"157.253.105.117";"Login estudiante13386";"";"";"";"1";"3";"3";"3";"2";"4";"4";"1";"3";"3";"3";"3";"1";"3";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6344490149";"160535088";"2017-08-16 16:05:07";"2017-08-16 16:10:34";"157.253.218.228";"Login estudiante16635";"";"";"";"1";"4";"4";"5";"5";"5";"5";"5";"4";"4";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"4";"4";"4";"5";"5";"3";"3";"5";"4";"4";"4";"4";"4";"5";"2";"3";"4";"3";"5";"5";"5";"5";"4";"4";"4";"4";
"6344485443";"160535088";"2017-08-16 16:02:48";"2017-08-18 10:27:44";"157.253.172.152";"Login estudiante13170";"";"";"";"2";"3";"3";"3";"4";"4";"4";"3";"5";"5";"0";"0";"0";"4";"3";"2";"4";"4";"4";"4";"3";"4";"4";"4";"3";"1";"4";"5";"3";"3";"1";"1";"4";"1";"1";"1";"1";"5";"5";"5";"5";"5";"5";"5";"5";"4";
