"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"O10_En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6471082677";"163777830";"2017-10-23 19:02:16";"2017-10-23 19:16:38";"186.87.131.203";"Login estudiante16665";"";"";"";"2";"2";"2";"1";"4";"4";"1";"0";"0";"0";"0";"1";"22";"5";"1";"4";"2";"3";"5";"3";"4";"3";"2";"2";"3";"5";"4";"2";"1";"5";"1";"3";"4";"2";"3";"3";"3";"1";"1";
"6470631491";"163777830";"2017-10-23 15:27:23";"2017-10-23 15:36:23";"157.253.227.55";"Login estudiante16666";"";"";"";"2";"3";"2";"3";"5";"4";"4";"5";"5";"0";"0";"1";"6";"4";"3";"4";"4";"4";"3";"5";"4";"3";"3";"2";"2";"4";"3";"1";"1";"2";"5";"5";"4";"2";"2";"2";"2";"3";"4";
"6469856978";"163777830";"2017-10-23 10:58:54";"2017-10-23 11:10:43";"157.253.207.134";"Login estudiante6511";"";"";"";"3";"3";"2";"3";"3";"4";"3";"2";"2";"3";"3";"2";"3";"3";"3";"3";"4";"4";"4";"2";"2";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"2";"4";"3";"2";"2";"4";"2";
"6466135697";"163777830";"2017-10-20 16:29:03";"2017-10-20 16:33:47";"157.253.125.52";"Login estudiante6214";"";"";"";"1";"1";"4";"5";"5";"5";"5";"5";"5";"2";"2";"2";"2";"3";"1";"3";"4";"4";"4";"2";"4";"2";"1";"4";"4";"5";"4";"1";"1";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";
"6463866359";"163777830";"2017-10-19 18:16:36";"2017-10-19 18:20:31";"186.154.21.177";"Login estudiante14629";"";"";"";"2";"3";"4";"4";"5";"4";"4";"5";"5";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"4";
"6462907364";"163777830";"2017-10-19 11:59:59";"2017-10-19 12:04:35";"157.253.197.77";"Login estudiante10740";"";"";"";"4";"5";"4";"5";"5";"5";"5";"0";"0";"0";"0";"0";"2";"3";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"2";"3";"4";"2";"2";"2";"5";"5";"5";"3";"3";"3";"3";"3";"2";
"6462374820";"163777830";"2017-10-19 8:23:40";"2017-10-19 9:02:57";"201.184.80.186";"Login estudiante9028";"";"";"";"3";"4";"5";"5";"5";"5";"4";"0";"0";"0";"0";"0";"3";"2";"4";"4";"5";"5";"5";"5";"3";"2";"3";"3";"2";"5";"4";"2";"2";"2";"5";"5";"5";"3";"3";"3";"3";"2";"4";
"6461664035";"163777830";"2017-10-19 0:39:38";"2017-10-19 0:48:18";"181.130.29.81";"Login estudiante16667";"";"";"";"5";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"3";"3";"5";"4";"5";"5";"5";"4";"4";"3";"3";"2";"2";"4";"3";"4";"4";"3";"5";"5";"5";"5";"5";"4";"4";"5";"5";
"6460421995";"163777830";"2017-10-18 13:34:55";"2017-10-18 13:41:51";"157.253.226.7";"Login estudiante16668";"";"";"";"2";"4";"1";"5";"5";"5";"1";"0";"0";"0";"0";"0";"7";"3";"2";"5";"5";"5";"5";"5";"5";"4";"5";"5";"1";"3";"2";"1";"5";"3";"5";"5";"5";"3";"3";"4";"4";"3";"2";
"6460121248";"163777830";"2017-10-18 11:45:02";"2017-10-18 11:45:31";"157.253.226.7";"Login estudiante16669";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6460053082";"163777830";"2017-10-18 11:21:41";"2017-10-18 11:27:46";"157.253.157.242";"Login estudiante16670";"";"";"";"4";"4";"5";"5";"4";"4";"4";"5";"5";"4";"4";"0";"4";"3";"5";"4";"5";"4";"5";"5";"4";"1";"3";"3";"2";"5";"3";"1";"3";"2";"5";"4";"4";"4";"3";"4";"4";"4";"4";
"6460004574";"163777830";"2017-10-18 11:05:29";"2017-10-18 11:10:44";"157.253.131.196";"Login estudiante16671";"";"";"";"4";"5";"2";"5";"3";"4";"3";"5";"5";"0";"0";"0";"4";"3";"4";"4";"2";"3";"3";"4";"4";"5";"5";"4";"3";"4";"5";"3";"5";"5";"5";"5";"4";"5";"5";"5";"4";"5";"3";
"6459988794";"163777830";"2017-10-18 11:00:58";"2017-10-18 11:03:41";"157.253.161.12";"Login estudiante7395";"";"";"";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"6";"4";"4";"4";"4";"4";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
